stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,67.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.68,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,55.84,0,0,0,13.63,0,11.86,4.77,0,0,0,0,0,0,0,0
 10-12,12.98,0,17.01,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0,0,163.48,0,0,0,64.51,0,0,5.47,0,20.89,0,0,0,0,0,0
 14-21,0,0,0,2.93,2.89,0,0,0,1.24,0,0,0.92,0,0,0,0,0,0.88,6.26,0,0,0,0,0,26.2,0,0.84,0,1.38,6.05,0,0,3.33,0
 24-34,0,0,0,0,0,0,4.92,0,0,0,0,0,0,4.54,2.53,3.84,0.7,0.78,34.69,0.77,0,0,0,0,45.9,0,0,0,0,7.77,0,0,12.46,0
 36-46,0,0,0,0,0,0,4.06,0,0,0,0,0,0,3.54,0,0,0,0,15.78,0,0,0,0,0,65.57,0,0,0,0,5.37,0,0,25.94,0
 48-58,0,0,0,0,0.41,0,12.83,1.2,0,0,0,0.4,0.52,10.06,0,1.78,0.45,0,9.05,1,0,0,0,0,66.36,0,0,0,0,2.37,0,0,5.22,0
 60-70,0,0,0,5.91,0,0,9.3,0.94,0,0,0,0,12.61,1.34,0,2.73,2.07,0.81,0,0,0,3.1,0,0,71.93,0,0,0,0,0,0,0,4.24,0
 72-82,0,0.86,0,0,0,0,23.72,0,0,5.37,0,0,0.56,0.53,0,7.78,4.06,0,9.19,0,0,0.56,0,0,63.25,0,0,0,0,0,0,0,12.29,0
 84-94,0,0,0,3.02,0,0,0.76,1.22,0,0.96,0,0,8.47,5.91,0,8.59,1.91,0,9.76,0,0,5.55,0,0,212.57,0,0,0,0,0.65,0,0,5.16,9.76
 96-106,0,0,0,8.93,11.59,0.97,7.99,0.98,0.57,13.81,0,0,7.64,5.08,1.36,2.94,8.77,0,2.72,0,0,0.77,0,2.84,171.56,0,0,0,0,0,0.59,0,18.66,0.68
108-118,0,0,0,6,1.13,1.11,1.5,0.43,0,13.64,0,0.78,7.51,8.05,0,2.73,5.19,0,13.37,0,0.47,0,0,0,131.32,0,0,0,0,0,0,0.5,13.44,0
120,0,0,0,11.69,0,0,11.74,0,13.55,4.64,0,0,18.43,2.78,0,1.39,0,0,11.57,0,0,0,0,0,43.22,0,0,0,0,0,0,0,24.9,0
