stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.88,0,0,4.43,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,7.14,0,0,0,0,0,0,0,0,0,2.84,0,0,0,11.9,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,17.63,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.43,0,0,11.02,10.2,0,0,389.43,0,0,2.01,0,0,0,0,1.32,0,0.9,0,0,0,0
 72-82,0,0,0,0,5.03,0,4.95,1.67,0.78,4.87,0,4.01,0,0,1.54,769.6,0,0,22.47,0,0,0,0,0.86,0,1.31,0,0,0,0
 84-94,0,54.44,0,0,8.48,0,0,0,0,474.14,0,0,7.04,1.5,9.41,921.06,0,0,14.57,0,2,0,0,3.03,3.4,0,3.68,0,0,0
 96-106,0,290.05,3.3,0,55.01,0.75,85.21,0,9.49,581.65,0,101.23,2.71,8.78,8.74,3673.3,3.48,0,156.3,0,2.07,0,1.67,11.51,0,0,26.11,3.68,0,0
108-118,0,459.32,0,1.59,22.72,0,85.25,0,4.89,606.51,0.92,18.98,0,0,11.65,3268.58,14.78,0,84.87,0.52,3.21,1.21,0,15.05,3.12,6.79,145.49,1.91,1.31,0.6
120,0,181.21,0,15.97,14.95,0,0,0,2.01,171.67,8.64,0,0,1.31,4.87,3732.66,0,5.56,129.72,0,0,0,18.35,5.47,0,0,1.83,1.48,0,0
