stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.64,75.8,0,0,47.22,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.42,0,0,35.41,0,0,0,6.11,0,18.73,0,0,0,0,0,0
 14-21,0,0,7.82,0.83,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,4.74,22.33,0.87,0,0,0,0,0,9.68,0,2.25,51.35,4.09,0,0,9.8,0,0
 24-34,0,0,0,0.81,0,2.16,0,0,0,3.85,0,0,0,0,0.64,0,0,0,0.6,0,0,3.38,80.13,1.71,0,0,0,0,1.58,0,0,0,11.65,5.88,0,0,5.82,0,0
 36-46,0,0,0,3.07,0,4.96,0.85,0,0.75,41.77,0.56,0,0,0,0,0,0,0,3.07,0,0,4.19,253.19,0,11.91,0,0,0,2.73,0,0,0,1.18,17.71,0,0,5.74,0,21.24
 48-58,0,0,0,1.32,2.62,60.33,0.65,0,0,90.51,0,0,0,0,0,0.4,0,0,4.96,0,0.4,2.56,469.38,0,19.89,0.68,0,0,13.1,0,0,0,0,38.55,0,0,0.5,0,8.1
 60-70,0,0,0,1.1,0,569.42,0,1.14,0.59,117.88,0,1.45,0,0,0,0,0,0,12.34,0,0,3.13,973.19,0,13.09,3.91,0,0,14.12,0,1.17,0,0,47.08,0,0,2.53,0,2.32
 72-82,0,0,0,18.74,2.13,2298.53,0,1.19,0.61,230.02,1.12,1.42,0.55,0.6,0.57,0.88,0,0.57,43.52,0,0,0.67,1239.57,0,4.51,0,0,0,6.06,0,0,0,0,47.86,1.74,0,0.93,0,13.07
 84-94,0,0,0,22.74,0.73,1411.14,0,1.68,0.91,157.68,0,2.14,6.56,2.77,0,0,0,0,18.47,0,0,4.63,867.05,0,10.12,1.71,0,0,13.92,0,0,0,0,34.28,0,2.41,0.78,0,0.64
 96-106,0,0,0,14.61,7.4,2406.49,0,0,1.54,225.25,3.85,7.03,1.28,0,3.22,1.07,0,0,68.37,1.09,0,9.14,819.95,0.57,23.7,3.1,0,0.97,20.06,0,0,0,0,17.81,0,0,2.39,0.64,8.03
108-118,0,0,0,39.92,8.89,2285.74,0,0,0,261.55,0.6,2.35,2.94,1.89,0,0,5.97,0,68.76,0,1.9,4.7,1319.94,0.54,8.8,2.27,0,8.1,6.3,0,0.81,0,0,28.82,0,0.82,6.99,2.45,3.41
120,0,0,0,27.28,4.16,1711.05,0,1.11,0,309.84,2.84,0,1.01,3.64,0,0,6.57,0,50.86,0,0,1.11,1821.53,0,19.07,13.94,0,0,7.48,0,2.27,0,0,51.96,0,0,14.22,0,0
