stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0.87,0,0,0,12.41,1.35,0,1.1,0,0,9.38,2.13,1.34,5.48,0,1.39,8.41,0,0,0,0,0
 24-34,0,6.09,5.29,52.1,9.55,0,8.34,7.3,0,16.43,12.51,0,3.44,43.3,0,5.48,0,3.14,19.29,5.74,0,7.54,288.61,0,54.97,28.1,0,0,235.35,0,0,180.86,9.79,1.64,141.32,0,0,16.97,0,0
 36-46,0,2.71,0,26.95,11.22,0,14.53,55.1,0,7.11,1.64,0,11.13,51.94,0,3.99,32.67,0.79,11.15,6.3,0,5.96,403.4,0,84.67,41.43,0,0,409.84,0.68,0,200.56,30.32,0,93.8,0,0,6.1,0,3.1
 48-58,0,0.81,0,29.95,9.04,0,30.31,20.77,1.34,1.05,5.34,1.52,15.5,2.3,0,1.52,4.9,0,23.88,2.91,0.39,0.91,282.85,0,67.07,31.49,0,0,82.21,0,0,98.26,28.69,0,27.21,0,0,4.9,0,0
 60-70,0,1.23,0,24.35,2.13,0,111.31,4.85,0,4.44,24.85,10.37,32.76,4.56,1.16,9.49,22.97,2.79,16.54,0,1.28,2.33,397.35,0.67,67.47,71.25,0,0,44.76,0,0,122.84,0.64,0,38.22,0,0,6.33,0,0
 72-82,0,0.49,0.62,16.74,9.3,0,36.48,1.1,0,1.68,33.5,8.77,0.98,2.9,1.57,13.87,25.3,0,17.41,0,0,0.69,193.43,0,94.38,66.03,0,0,2.53,0,0,44.85,1.69,0,15.88,2.78,0.74,2.38,0.57,0
 84-94,0,8.28,3.35,34.97,19.03,0,104.95,0,0,4.81,208.85,15.44,3.21,4.84,0,16.74,15.57,0,14.87,0,0,1.12,126.81,0,69.27,176.18,0,0,18.62,0,0,135.41,0,0,21.22,90.18,0.64,0.88,0.77,1.57
 96-106,0,10.95,8.5,14.47,31.37,0.8,46.47,0,0,11.74,132.53,55.89,4.42,0,0,23.88,33.28,0,4.23,0,0,0,109.92,0,173.22,155.16,0,4.36,5.8,0,0,68.59,0,0,2.63,5.55,0,0,0.92,0
108-118,0,8.52,15.07,11.27,19.96,1.57,12.75,0,0,11.35,229.27,30.12,4.3,10.07,0,7.1,24.61,0,10.84,0,0,1.75,131.28,0,68.9,91.97,0,1.52,3.1,0,0,68.46,0,0,4.97,14.72,0,0.72,0,2.47
120,0,0,3.57,2.27,39.81,0,22.8,0,0,18.68,124.36,21.15,11.05,0,0,0,10.64,0,21.2,0,0,0,127.05,0,92.89,49.41,0,0,0,0,0,27.79,0,0,17.7,3,0,0,0,0
