stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,taste,visceral_smooth_muscle
  7-9,0,0,5.99,0,0,0,0,0,0,3.21,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,0
 14-21,1.1,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0
 24-34,0,1.82,0,0,0,0,0,0,0,1.02,0,0,0,0,0
 36-46,0,0,0,0,1.85,0,0,0,0,0,0,0.66,0,0,0
 60-70,0,0,3.91,0,0,0,0,2.8,0,2.83,0,0,0,0,0
 72-82,0,0,1.57,0,0,0,0,0,0,4.45,0,0,0,1.69,0
 84-94,0,0,0,0,0,0,5.37,1.77,0,3.2,0,1.51,0.95,0,0
 96-106,0,0,0,0,0,0,0,0,0.67,0,0,1.44,0,0,0.67
108-118,0,0,0,0.52,0,1.35,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0
