stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,146.93,1564.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.01,0,0,0,0,0,0,0,0,0
  5-6,65.4,1160.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07,7.03,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0
  7-9,10.08,21.05,0,15.03,0,0,0,70.15,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0,276.92,24.13,0,0,95.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.7,0,12.17,0,0,0,33.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.48,38.96,0,0,116.73,0,0,26.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,17.53,1.1,0,0.85,0,0,0,3.05,1,0,0,0,0,0,0,0,0,4.01,0,0,28.33,31.9,4.15,0,0.89,2.04,0,13.13,0,5.53,552.33,788.31,9.65,0,0,0,0
 24-34,0,0,1.05,1.2,28.92,1.02,0,7.24,2.7,2.21,0.99,0.79,0,0,3.35,0.6,0.66,0,3.14,0,0,34.47,0.66,0,56.69,74.16,2.53,2.14,0.71,0,0,12.34,0,0,207.97,184.52,19.76,0,7.7,0,0
 36-46,0,0,0,0,13.76,0,0,14.08,23.94,1.19,0.61,0,0.58,0,4.4,0,0,0,0.89,0,6.95,22.24,0,0,24.25,93.01,0.69,9.65,6.86,0,0,25.88,0,0,136.08,0.69,17.73,0,0,0,0
 48-58,0,0,0,0.4,5.67,0,0,45.3,47.21,5.91,0.93,5.74,0,0,10.27,0,6.83,0,1.57,0,0,40.96,0,0,30.2,123.16,6.52,1.94,3.73,4.77,0,18.07,0,0,66.55,0.55,19.98,0,1.59,0,0
 60-70,0,0,0,0,3.5,0,0,34.89,47.27,2.15,0,7.7,0,0,7.61,3.19,0,0,5.43,0,0,36.58,0,0,21.49,71.52,0.71,4.3,2.14,0,0,14.52,0,0,42.91,0,13.66,2.38,7.94,0,5.05
 72-82,0,0,0,0,6.17,0.63,0,32.31,48.18,0,2.23,36.14,1.8,0,3.23,3.48,1.02,0,6.76,0,0,38.19,0,1.98,16.61,109.55,0.53,3.31,8.16,0,0,32.46,0,0,37.7,0,7.95,4.73,9.76,2.11,0
 84-94,0,0,0,0,9.42,15.7,0,41.64,73.25,5.29,0,23.47,0.77,0,4.22,3.79,0,2.14,6.11,0.68,0,34.91,0,0,21.09,71.23,0,8.22,20.39,0,1.01,76.9,0,0,63.51,0,18.13,8.15,5.44,1.44,1.5
 96-106,0,0,3.82,0,23.74,10.57,0.8,39.46,89.58,0,0,34.56,0.85,0,12.29,6.66,0,14.14,8.88,7.26,0,56.89,2.78,0,40.55,93.46,2.3,9.42,7.72,10.66,6.08,54.44,0,0,75.08,0,6.95,6.06,3.54,0,0
108-118,0,0,0,0,9.08,4.71,11.15,43.78,75.59,2.83,0,45.29,0.84,0,9.84,2.71,0,6.73,2.64,2.19,4.61,48.79,0.42,4.35,42.32,102.19,1.71,7.96,15.37,8.11,0,59.54,0,0,92.68,0,7.41,8.62,3.72,0.92,6.56
120,0,0,0,0,4.95,0,0,51.54,71.13,0,0,59.54,0,0,3,5.39,0,2.62,2.6,0,0,87.23,0,19.4,42.49,110.79,0,1.91,13.9,0,0,30.2,0,1.12,20.11,0,0,0,0,0,0
