stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,61.62,1328.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.41,0,0,0,0,0,0,0,0,0,0
  5-6,37.11,503.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,4.5,0,14.49,0,0,0,14.85,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,163.55,31.65,0,0,55.87,0,9.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.45,0,95.23,0,9.84,0,35.15,0,0,0,0,0,17.44,0,0,0,0,0,0,0,0,0,0,0,486.83,34.42,0,0,230.59,0,0,10.79,0,16.73,0,0,0,0,0,0,0
 14-21,0,0,0.8,8.25,44.85,18.18,0,24.81,0,0.82,0,20.61,13.12,6.01,0,0,2.13,0,0,0,0,46.37,0,0,30.78,487.71,34.58,0,3.61,7.64,0,5.32,0.9,74.88,3.49,6.64,76.58,143.59,0,9.77,0,7.81
 24-34,0,0,0.67,2.74,22.77,2.64,0,59.76,0,1.34,4.98,22.64,1.22,0,13.57,0,1.91,9.21,0,0,1.9,120.69,0.7,0,48.77,593.64,11.2,0.85,6.65,0,0,21.12,0,1.59,5.88,4.03,16.64,164.44,0,36.85,0,6.27
 36-46,0,0,0.73,0,8.69,10.58,0,64.68,0,0,10.63,63.55,1.84,0,4.51,3.64,9.13,0,0.95,0.61,8.22,147.89,0,2.24,42.93,377.63,13.62,4.43,8.52,0,1.69,6.67,0,0,3.44,1.32,0,116.43,0,18.8,0,4
 48-58,0.58,0,0,0.83,5.68,0.95,0,66.62,3.08,8.52,10.84,68.03,0,1.32,2.76,2.8,0.38,6.12,1.13,2.19,5.58,186.28,1.36,6.59,22.53,164.35,1.52,0.4,5.23,0,0.53,4.41,0,0,0.85,0.55,0,72.55,1.04,10.87,0,19.21
 60-70,0,0,0,0,22.28,1.08,0,53.82,0.84,0.69,16.17,77.88,0,0,3.97,0.72,0,3.44,2.24,0,0,200.6,0,5.16,12.93,97.59,3.38,3.82,10.76,0,2.69,0.6,0,0,3.03,5.75,0,27.31,5.92,8.26,1.46,18.72
 72-82,0,0,1.49,0,10.47,32.82,0,44.92,0,0,16.47,101.24,4.85,1.51,8.49,7.39,2.56,7.64,6.35,1.31,1.8,406.87,2.61,8.52,26.26,93.48,1.39,3.72,19.26,0,1.05,4.03,0,0,3.72,0.79,0,13.81,5.79,42.44,8.68,24.22
 84-94,0,0,5.43,0,14.35,29.34,0.58,60.57,1.17,3.86,16.73,67.9,10.2,3.75,3.38,12.63,1.29,5.88,6.39,13.01,6.68,409.18,2.25,25.58,14.45,84.75,2.7,1.1,24.28,0,8.25,8.68,0,0,2.08,1.06,0,21.52,12.56,49.02,13.38,21.67
 96-106,0,0,3.97,0,20.28,63.38,0,49.26,4.64,1.71,12.17,107.96,3.7,0,2.3,22.6,1.89,4.4,10.76,3.42,0.68,376.08,3.29,13.03,15.17,112.81,3.87,5.11,10.84,0,11.85,17.28,0,0,3.95,0.62,0,18.94,11.37,39.51,13.03,11.43
108-118,0,0,1.34,0,23.43,34.66,0.43,71.53,0,8.48,27.54,176.49,2.49,0,6.77,13.38,2.35,25.98,6.75,6.41,6.28,459.32,1.93,13.72,28.35,134.49,8.79,4.66,29.51,0,3.56,6.46,0,0,9.45,3.49,0,16.78,10.56,50.16,13.47,10.8
120,0,0,0,0,65.05,36.13,1.6,50.42,1.25,14.06,20.74,194,7.72,0,0,22.58,5.91,22.01,2.53,5.58,1.33,467.17,0,43.81,8.91,86.24,9.73,5.33,22.3,19.84,12.55,8.06,0,0,4.72,1.69,0,1.98,22.69,39.45,2.57,1.1
