stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0
 14-21,0.86,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0
 24-34,4.93,0.96,0,0,0,0,2.67,0,0,0.78,0,11.05,0,0,0,5.05,0
 36-46,5.85,2.6,0,1.19,0,0.56,0,0,0,1.35,0.73,35.8,0,0,0,2.9,0
 48-58,0.38,2.22,0,0,0,0,0,2.48,0,1.57,0,32.74,1.04,3.57,2.59,4.08,0
 60-70,2.55,21.89,0,0,0,1.47,0,0,0,1.04,0,33.09,0,0,0,0,0
 72-82,0,22.78,0,2.07,0,3.47,0,0.83,0,6.86,0,27.52,0,0,0,9.53,0
 84-94,0,5.27,3.76,0,1.93,0,0,0,0.69,18.09,0,20.41,0,0,0,0,0
 96-106,0,2.05,0,0,0,0,0,0,0,7.42,0,19.3,2.45,0,0,0,0
108-118,0,3.43,0,0,0,1.56,0,0,0,3.44,0,13.88,0,0,0,0,0
120,0,3.77,0,0,0,5.82,0,0,0,13.95,0,12.69,0,0,0,0,3.98
