stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,53.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10,79.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,453.4,6.68,130.04,0,0,0,4.06,0,0,0,0,154.66,0,0,0,0,0,0,0,0,0,0,118.39,978.57,0,0,48.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,16.39,13.19,184.22,0,10.26,0,20.92,0,0,0,0,102.04,0,0,0,0,0,0,0,0,0,0,675.89,2082.5,0,0,169.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,18.48,42.17,30.66,0,7.78,0,0,3.23,21.71,11.93,1.5,0,0,0,0,0,0,102.27,0,41.45,133.52,5940.7,1.55,0,54.41,0,0,0.9,36.32,2.9,27.68,38.95,375.53,0,0,5.02,0,0
 24-34,0,0,0.73,9.17,1.39,0,9.02,0,1.91,1.56,2.37,0,0.95,0,0.64,0,0,0,0,212.12,0,49.84,166.48,734.22,8.66,1.7,0,0,2.3,0,0,2.67,0.87,11.84,65.74,0,0,33.52,0,0
 36-46,0,0,0,0.92,0,0,7.14,0,6.32,2.48,0,0,3.5,0,0,0.69,0.75,0,0,276.78,0,34.07,104.59,139.76,0,7.94,0,4.95,8.9,0,0,0,0,0,23.08,0,0,19.91,0.78,0.65
 48-58,0,0,0,0,0,0,23.19,0,4.66,9,0,0,8.63,0,0,0,0,0,0,571.08,0.6,17.48,121.91,24.47,2.78,18.12,0,0,0.63,0,0,0,0,0,11.82,0,0,12.07,0,6.84
 60-70,0,0,0,0.63,10.02,0,37.9,0,8.09,6.56,0,0,6.09,0,0,3.97,0.79,0,0,674.67,0.62,12.06,109.36,0.68,6.49,25.91,0,0.71,4.32,0,0,0,0,0,8.2,0,1.5,53.09,0,5.67
 72-82,0,0,0,3.92,3.78,0,49.67,0,14.34,5.58,1.13,0,6.38,1.81,0,9.52,0,0,0,858.37,3.03,17.18,115.87,0,2.43,40.42,0,0,1.92,0,0,0,0,0,4.22,3.98,1.65,138.79,8.2,7.85
 84-94,0,0,0,1.55,0,0,34.5,0,17.69,14.95,0,0,3.86,0.75,0,2.72,0.73,0.68,0.86,626.68,0,12.24,103.18,0.62,1.72,42.97,0,1.75,2.91,0,0,1.37,0,0,1.82,0,5.15,121.12,4.74,16.38
 96-106,0,0,0,3.07,0,3.86,52.61,4.28,9.44,6.44,0,0,6.28,2.34,0,3.45,0.75,0,1.03,581.44,3.38,7.93,119.63,0,0,67.94,0,0,3.67,0,0,0,0,0,0.66,0,7.44,216.3,19.5,3.31
108-118,0,0,0,6.49,5.15,0,21.92,0,9.81,10.57,2.74,0,0.61,2.08,0.95,18.99,2.46,0,0,543.95,1.08,11.66,125.17,0,0,67.01,0,0.91,2.04,0,0,0,0,0,0,0,7.14,237.24,8.45,7.71
120,0,0,0,9.87,1.88,0,31.42,1.39,2.88,12.29,0,0,10.96,2.88,0,19.17,0,0,0,648.49,19.18,2.24,174.05,0,2.4,82.11,0,6.29,0,0,0,0,0,0,0,0,11.38,268.33,0,0
