stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,2.57,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,12.95,0,0,0,0,4.84,0,0,0,4.3,0,0,0
 24-34,0.71,0.68,4.64,0,0,1.05,0,0,1.13,0,0,0,0,0,2.03,0,0.82,34.68,0,0,0,2.57,0,0,0,0.9,12.35,0,2.11,10.73
 36-46,0,0,11.28,0,0,7.58,0,0,0,0,0,0,0,0,5.39,0,0.69,68.51,0,0,0,0,0,15.62,0,0,8.03,0,0,1.29
 48-58,0.5,0.69,23.99,1.37,1.75,5.32,0,0,0,0,0,0,0,0,3.68,0.37,1.4,21.89,0,0,0,0,0,0,0.45,0,8.63,0,0.47,0.99
 60-70,0,0,118,0,0,14.39,1.58,0,0,0,0,0,0,0,12.26,0,4.01,124.72,0,1.01,0,0.83,0,0,0,0,12.21,0.67,0.64,0
 72-82,0,0.55,32.14,0,0,4.48,0,0,0,0,0,0,0,0,6.15,0,0.49,29.03,0,0,1.78,0,0,0,0,0,0,1.01,0,0
 84-94,0,4.5,37.21,0,1.25,0.78,0,0,0,0.75,0,0,0,2.36,12.39,1.37,0.57,40.74,0,0,0,0.8,0,0,0,0,1.58,1.76,0,0
 96-106,1.97,0,37.89,0,0,7.58,0,1.06,0,0,0.8,0,0,0,9.62,5.65,0.57,15.92,0,0,0,0.6,0,0,0,0,0,0,5.16,0
108-118,0.5,0,33.15,0,0,1.45,0,0,0,0.53,0,0.65,0.69,0,2.38,0,0,24.44,0.46,0,0,1.4,0,0.5,0,0,2.21,0,0,0.94
120,3.24,0,4.09,0,0,4.3,1.34,0,0,0,0,0,0,0,0,0,2.71,54.1,0,0,0,1,0,0,1.99,0,0,0,0,0
