stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,165.26,4448.8,0,0,0,0,0,0,0,0,0,0,0,0,119.5,0,0,0,0,0,0
  5-6,180.55,3195.43,10.68,0,0,0,0,0,0,0,0,110.01,0,0,50.96,0,0,0,0,0,0
  7-9,27.47,28.4,33.48,0,0,83.99,0,0,53.3,0,0,1077.02,21.99,337.18,0,31.56,0,0,0,0,0
 10-12,0,16.17,32.37,0,5.1,31.36,0,0,5.92,0,0,279.32,0,98.25,0,0,0,12.34,0,0,0
 14-21,0,0,0,6.75,0,0.89,0,3.35,0,0.92,2.46,17.14,0,0,1.32,0,1.99,0,4.52,12.64,0
 24-34,0,0,0.59,0.59,0,0,2.1,0,0,0,0,7.95,0,0,0,0,0,0,0.75,2.53,1.06
 36-46,0,0,0,0,0,0,0,0,0,1.16,0,1.11,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0.39,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0.86,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0
