stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,76.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.36,0,0,0,0,10.04,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.95,0,0,1.62,0,0,0,0,0,0,0,0,0,4.49,2.18,0,0,0.83,0,0,0,0
 36-46,0,0,0.84,3.94,0,0,0,0,0,0,0,0,0,2.64,0,0.74,4.8,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.06,0,0,0.9,0,0,0,0,0,0,1.83,0.59,0,22.59,0,0,6.65,1.1,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0.87,0,0.89,13.89,0,0,11.3,5.3,0,0,0,0
 72-82,0,0,2.39,7.27,0,0,5.91,0,0,0,0,0.53,0,6.73,0,0,35.09,1.92,0,0,1.47,0,0.61,0,0
 84-94,0,0.7,16.69,9.27,0,0,0,0,0,0,0,0,0,0,0,0.61,34.63,0,0,4.15,0,0,0,0,0
 96-106,0,0.6,3.79,14.87,0.64,0,4.33,0,0,0,0,0,0,3.63,0,0,5.59,0,0,5.78,0,1.17,0,0,0
108-118,0,0,1.66,7.47,0,0.5,0,1,0,0,0,0,0,3.86,0,0,11.88,0,0,0.5,0,0,0,1.38,0.79
120,0,0,15.53,18.62,0,0,0,0,0,0,7.7,0,2.67,4.53,0,0,33.78,0,0,5.19,0,0,0,0,0
