stage,eye,glial,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,1.04,0,0,0.95,0,1,1.21,0,0
 24-34,0,0,1.64,0,0.72,0,0,7.69,0,0,0.61,0,0
 36-46,0,0,0,0,0.61,0,1.22,19.22,1.39,0,1.46,0,2.73
 48-58,3.63,0.65,0,0,1.38,0,0,17.47,0,0,6.38,0.42,0
 60-70,2.96,0,0,0,3.3,0,0,11.71,0,0,1.18,0,0
 72-82,13.76,0.67,0,6.49,0,0.81,0,10.08,0,0,3.36,0,0
 84-94,11.39,0,0,0,0,0,0,6.45,0,0,2.23,1.75,0
 96-106,0.74,0.68,0,0,1,0,0,9.32,0,0,0,0,0
108-118,3.1,0,0,0,1.35,0,0,9.68,0,0,0.7,0,0
120,8.9,0,0,0,4.09,0,0,34.56,0,0,0,0,0
