stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.96,1467.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.56,0,0,0,0,0,0,0,0,0
  5-6,13.29,374.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.03,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,39.98,3.28,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.05,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.93,4.45,0,0,31.65,0,0,0,10.73,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,1.07,1.83,0,2.15,1,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,80.27,0,2.55,0,0,0,0,0.86,0,0.82,80.77,0,0,1,0,0
 24-34,0,0,0.97,0,1.97,0,0,5.74,0,0,14.61,0,0,0,0,0,0,0,1.75,0,0,0,1.14,732.18,0,9.46,0,0,0,5.9,0,1.99,0,361.53,0,0,1.5,0,6.61
 36-46,0,0,0.73,0,0.92,0,0,14.61,0,0,94.59,0,0,0,0,0.57,0,0,9.64,11.98,0,0,4.06,1682.86,0,9.81,5.55,0,0,2.24,0,0,0,532.18,0,0,3.83,0,5.94
 48-58,0,0,0.59,0,12.35,0,0,160.36,0,0.66,272.06,0,0,1.36,1.2,1.24,0,0,6.71,30.1,0,0,7.51,3011.62,4.6,5.21,1.42,0,0,3.62,0,1.87,0,686.29,0,0,0.41,0,4.56
 60-70,0,0,0,0,5.45,0,0,753.59,4.43,8.38,294.11,0,0,0,3.85,0,0,0,1.05,28.01,0,0,3.94,4684.24,0,0.99,0.79,0,0,19.97,0,0,0,609.65,0,0,5.79,0.89,0
 72-82,0,0,6.78,0,24.93,3.56,0,1282.99,0.7,0,385.91,1.15,0,0.66,0,0.64,0,0,3.97,40.89,0,1.7,3.82,5534.02,0,5.12,0,0,0,4.8,0,0,0,508.49,1.36,0,3.22,0,3.16
 84-94,0,0,4.46,0,15.25,0.76,0,1115.24,0,0,296.98,0,0,0,0.66,9.53,1.61,0,2.34,21.79,0,0.6,1.16,3783.58,0,2.19,0,0,3.87,15.99,0,0,0,373.92,0,3.41,5.81,9.33,7.94
 96-106,0,0,0,0,14.2,8.87,0,1177.35,1.6,0,379,1.38,0,0,1.44,0,0,28.43,0.67,72.85,3.31,0.62,1.63,3450.88,0,3.21,0.95,0,0,12.88,0,0,0,175.93,5.67,0,2.74,2.17,8.72
108-118,0,0,1.37,0,26.24,3.45,1,971.67,0.42,2.78,287.26,1.27,0,0,5.5,0.73,0,0.47,7.12,34.3,0,0,3.67,3412.8,0,2.88,1.12,0,0,4.23,0,0,0,141.62,0,0,3.32,1.6,7.62
120,0,0,0,4.45,31.86,8.14,0,811.32,14.64,0,452.88,4.1,0,4.47,0,0,0,0,5.63,61.16,0,0,7.61,5303.3,0,14.18,4.8,0,0,9.34,0,4.19,0,110.96,0,3.74,0,2.94,8.94
