stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  5-6,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0
 24-34,0,0,0,0,0,0.8,0,0,1.22,0,0,1.75,0,0,2.95,9.03,0,0,0,1.03,0,0,1.85,0
 36-46,0,0,0,0.83,0,0,0,0,0.9,0,0,3.65,0.82,0,6.2,0,0,0,3.5,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.91,1,0,3.82,0,0,0.4,0.49,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.52,0,0,0,0,1.71,0.71,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.04,0,0,0,0,0,0.69,0,8.99,9.02,0,4.51,0,0.86,0,0,0,0,0,0,0
 84-94,0,0.95,0,2.91,0,0,0,0,0,0,0,23.65,2.31,0,0,0,0,0,3.93,0,0,0,0,0
 96-106,0,1.22,0,0,0,0,2.24,0,0,0.91,0,0,1.69,0,2.18,0,0,0,0.89,0,0,0,0,1.21
108-118,0,4.46,0.99,0,0.69,0,0,0,0,0,0,10.25,0,0.8,0.45,0,0,0,0,0,0,0,0.83,0
120,0,4.46,0,0,0,0,13,0,0,3.33,1.84,0,3.73,4.59,0,0,0,0,9.75,0,0,2.82,0,0
