stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,mesenchyme,muscle,neural,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,11.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,12.25,0,0,0,0,4.49,0,0,0,0,0,0
 10-12,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.82,0,0,6.25,0,0,0,0,0.96,0,0,0
 24-34,0,0,0,0,0,0,4.52,3.85,0,13.43,0.73,0,4.34,0,0,0.61
 36-46,0,0,0,0,2.4,0,0,1.09,0.79,10.76,0,0,18.22,0,0,0
 48-58,0,0.55,0,0,8.77,2.6,0,1.47,0.38,15.78,0,0,7.38,0,0,0
 60-70,0,0,0,0,9.8,9.57,0,1.29,0,14.07,0,0,30.14,0,0,0
 72-82,0,0,0,0,15.02,43.17,0,3.66,0,36.51,0,0,24.31,0,0,0
 84-94,0,0.92,0,0,0,40.45,0,1.33,0,18.15,4.27,1.43,21.72,0,0,0
 96-106,0,0,0,0,4.55,63.93,0,6.78,0,26.14,0,0,22.9,0,0,0
108-118,0,0,2.72,2.97,5.86,64.33,0,6.33,1.3,34.93,1.16,0,20.93,0.89,0,0
120,0,7.9,4.16,0,14.42,121.18,0,0,0,82.93,1.28,0,70.79,0,3.24,0
