stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal_cord
  5-6,24.21,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.18,0.83,0,4.12,0.98
 24-34,0,0,0,0,0,0,0,0,0.6,6.12,0,0,0,0
 36-46,0,0,0,0,0,1.28,0,0,0,9.46,0,1.69,0,2.75
 48-58,0,0,0,0.6,0,0,0,0,0,1.92,0,0,1.55,0
 60-70,0,2.46,0,0.59,0,0,0,5.44,0,2.04,0,0,0,0
 72-82,0,0,0,6.2,0,3.09,0,0.51,0,3.65,0,0,0,2.78
 84-94,0,0,2.96,0,1.03,0,0,0,0,1.11,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.22,0,1.77,0,0,0,0
108-118,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0
120,0,0,0,0,0,3.15,0,0,0,19.88,0,0,0,0
