stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,40.86,412.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65,0,0,0,0,0,0,0,0,0,0
  5-6,25.44,337.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,9.77,0,7.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.85,26.86,0.82,0,0.98,0,0,0,1.6,5.81,0,1.45,0,0,0,0,0,14.48,0,0,1.81,18.39,0,0,0,0,0,0,1.58,3.42,2.32,0,14.97,0,0,0,0,0
 24-34,0,0,0,6.32,13.41,0,0,13.56,0,0,0,14.5,10.67,0,8.52,0,11.61,0,2,0,60.45,0,0,10.12,290.71,0,0.75,0.74,0,1.61,0,0,0.93,0,0.71,89.85,0,0,7.79,0,0
 36-46,0,0,0,0,4.83,0,0,9.93,1.75,0,1.96,33.54,2.57,0,5.15,0,0,0,0,0,80.51,0,5.48,7.17,873.02,0,2.29,14.14,0,1.55,1.45,0,0,0,0,179.98,0,0.85,0,0,0
 48-58,0,0,0,0,9.73,0.41,0,65.49,1.09,0,3.74,162.63,3.05,0,1.29,0,0,0,1.61,3.49,99.91,0.41,9.2,6.56,1771.49,4.37,1.77,2.06,0,0.56,2.67,0,0,1.3,0,291.13,0,0,0,0.9,0
 60-70,0,0,0,0,11.73,0,0,156.39,0,6.18,1.45,265.85,0.69,0,0,0,0,0,2.97,0,157.66,0,7.06,0.67,3402.39,6.89,5.95,6.14,0,1.65,15.99,0,1.54,0,0,561.03,0,0,0.97,2.76,2.89
 72-82,0,0,0.87,0,21.06,3.1,0,205.98,0,0.81,4.48,280.46,0,0.51,0,1.16,0,0.62,0.96,0,238.58,0.57,8.64,6.96,4262.04,0,0.74,3.08,0,0,6.29,0,0,0,0,314.49,0,2.42,7.79,5.55,1.16
 84-94,0,0,2.74,0,24.47,12.79,0,198.66,0,0,0,231.52,5.11,0.74,0,0,0.67,0,5.03,0,167.5,0,3.27,14.56,2584.34,0,0.7,18.23,0,0,0,0,2.48,0,0,202.9,0,2.94,4.79,8.43,7.59
 96-106,0,0,2.31,0,9.71,17.38,9.83,208.3,1.4,0,2.33,220.11,0.69,0,0,0,0.75,0,0,0,219.47,0,1.79,3.75,2652.17,2.16,0.7,31.33,0,0,14.55,0,0,0,0,70.29,1.13,0.89,0,7.39,3.35
108-118,0,0,1.84,0,32.81,10.32,6.37,112,1.58,0,5.4,269.55,1.63,0,0,0,0,0.81,2.56,0,226.91,3.61,4.35,3,2776.21,1,1.07,32.67,0,0,5.59,0,0.94,0,0,95.18,0,4.2,6.54,5.41,10.65
120,1.12,0,0,0,33.33,0,14.33,180.24,0,2.41,9.89,360.09,2.76,0,4.47,5.17,0,1.48,1.75,0,143.49,0,7.65,8.5,4817.43,5.14,0,23.2,0,0,0,0,0,0,0,64.99,0,0,14.49,0,0
