stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,582.84,14099.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.95,0,0,0,0,0,0,0,0,0
  5-6,139.4,2220.62,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,89.44,0,0,0,0,23.29,0,0,0,0,0,0,0,0,0
  7-9,3.32,4.45,3.3,0,0,0,41.35,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,223.56,3.38,0,0,96.84,0,41.88,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,32.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.94,19.32,0,0,60.94,0,33.97,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.59,1.27,0,10.75,0,0,0,5.31,0,0,0,0,0,0,0,0,5.43,0,0,0.98,218.3,0.81,0,1.77,6.7,8.49,4.07,6.3,1.81,0.82,63.48,0,0,0,0
 24-34,0,0.83,0.68,3.1,0.61,0,38.55,0,0,0,16.81,0,0,0.69,0,0,2.07,0,0.61,11.82,0,0,6.01,318.87,0,4.21,10.84,0,16.61,0,0,2.69,1.98,113.98,0,0,0.73,0
 36-46,0,0,0,1.17,0,0,55.59,0,0,0,21.61,0,0,0,0,0,0,1.18,0,13.45,0,0,1.31,209.09,0,1.82,3.26,0,19.91,0.65,0,1.05,0,52.85,0,0,0.56,0
 48-58,0,0,0,0,0,0,37.29,0,0,0.42,15.85,0,0.57,0,1.22,0,0,0,0,11.62,0.71,1.67,3.48,125.96,0,1.76,0.4,0,11.53,0,0,0,0,14.25,0,0,1.25,0
 60-70,0,0,0,1.07,0,0,55.36,0,0.76,2.64,23.04,3.6,0,0,0,0,0,1.39,0,11.27,0,0,0.99,93.68,0,1.1,6.4,0,22.78,0,0,0,0,12.69,0,0,0,0
 72-82,0,0,0,1.16,5.73,0,19.94,0,0,0,29.06,4.89,0,0,0.49,0,1.57,1.15,1.79,36.06,0.83,0,0.71,61.31,0,3.32,8.71,0,4.26,0,0,1,0,8.71,2.71,0,0.6,0
 84-94,0,0,0,3.63,5.42,0.92,22.46,0,0.75,0,33.86,7.67,0.76,0,3.73,0,0.79,0,0,15.48,0,1.31,0.76,83.78,0,2.45,2.24,0,29.82,0,0,0,0,14.84,0,0,3.28,0
 96-106,0,0,0,4,3.47,0,23.84,1.05,0,0,47.55,3.59,0,0.89,4.75,1.47,0,4.85,11.11,29.9,7.75,3.57,0,63.15,0,4.1,6.85,0,44.1,0,0,0,0,0,2.25,1.64,6.62,0
108-118,0,0,0,1.72,1.13,0,42.2,0,0,1.23,50.58,10.21,0,0,3.3,0.48,0,0,4.06,21.31,0,0,0.42,81.76,0,3.07,7.36,0,27.84,0,0,0,0,4.31,0.51,0,9.94,2.98
120,0,0,0,3.76,8.88,0,13.25,0,0,0,40.22,7.88,0,1.17,11.62,3.61,0,1.07,11.47,32.23,2.91,0,3.18,117.15,0,0,15.01,0,14.1,0,0,0,0,16.15,0,0,12.08,0
