stage,axial,blastomeres,epidermis,eye,fin.epithelia,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,taste
  3-4,26.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.4,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.9,0,28.34,0,0,0
 36-46,0,0,0,0,1.71,7.03,0,8.55,0,0,0,0.7,0,109.64,0,6.85,0
 48-58,0,0,0,0,0,0,0,0,1.12,1.63,0.42,7.4,0,55.32,0.45,0,0
 60-70,0,0,0.78,1.68,6.58,1.74,0,0,0,0,0,3.22,0,48.38,0,0,0.77
 72-82,0,0,0,0,0,0.58,0,0,1.03,0.95,0,0,0.95,33.28,0,0,0.81
 84-94,0,0,2.82,0,0,0,0,0,0,2.54,0,0,0,21.27,0,0,0
 96-106,0,0,0.6,0,0,0,0,0,1.53,0,0,0,0,12.16,0,0,0
108-118,0,0,2.8,0,0,0,0.76,0,0,0,0,0,0,10.34,0,0,0
120,0,0,15.08,0,0,5.96,0,0,0,0,0,0,0,9.59,0,0,0
