stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,3.98,0,0,0
 14-21,0,4.27,0,0,0,0,0,0,0,0,0,3.25,0,0,14.52,0,0,0,0,0,4.57,0.88,0,6.05,2.6,0
 24-34,0,3.07,0,0,0.67,0,0,0,0,0,0,1.37,0,3.45,14.91,0,0,0,0,0,0.68,0,0,0,5.08,0
 36-46,0,0,0,0,0.67,0,0,0,0,0,0,0,0.59,0.59,7.87,0,0.84,0,0,0,1.74,0,0,0,0.95,1.98
 48-58,0,0,0,0,2.02,0,1.73,0,0,0,0,0,0,0.92,9.45,0,1.22,0,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,9.06,1.18,0,0,0,0,0,7.9,0,0,9.82,0,0.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.6,0.62,0,0,0.93,0,0,0,5.75,0,1.42,0,0,0,1.42,0,0,0,0,6.17
 84-94,0,1,0,0,10.39,0,0.72,0,0,0,0,1.53,0,0,0,0,0,3.58,0,0,1.12,0,0,0,0,0
 96-106,0,1.63,2.12,0,0,0,0,0,0,0,0.71,3.66,0,3.85,17.29,0,2.09,1.39,0,0,1.43,0,0,0,4.83,0
108-118,0,1.86,0,2.23,0.97,1.12,1.78,1.35,0,0.81,0,3.73,0,0.54,1.7,0,0,1.27,0,1.97,7.5,0,0,0,0,0.6
120,0,1.09,0,3.13,0,0,0,1.4,1.06,0,0,0,0,0,0,1.25,1.09,2.2,0,0,1.03,0,0,0,0,0
