stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,190.42,4668.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.88,0,0,0,0,0,0,0,0,0,0
  5-6,306.43,4308.02,0,14.57,0,0,0,0,0,0,0,0,33.08,0,0,0,0,0,0,0,0,0,0,158.78,0,0,0,14.83,0,140.13,0,0,0,0,0,0,0,0,0,0
  7-9,85.39,172.18,0,106.39,0,0,179.02,0,0,0,0,0,72.16,0,0,0,0,0,0,0,0,0,0,2680.59,124.4,0,0,648.59,0,14.89,16.11,0,0,0,0,0,0,0,0,0
 10-12,0,95.01,0,112.8,0,11.13,183.48,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,1747.74,84.02,0,0,491.4,0,28.06,8.72,8.55,28.76,0,8.4,0,0,0,0,0
 14-21,0,0,0,2.14,20.41,1.17,14.2,0,0,0,1.08,2.29,0,0,0.96,0,0,0,0,11.89,0,0,6.17,105.39,0.85,0,1.94,0.82,0,0.88,0,19.98,0.85,1.34,14.13,29.65,0,1.2,0,0
 24-34,0,0,0,0,4.77,0,14.51,0,0.59,0,5.82,0,0,0,1.98,0,1.63,0,0,10.9,0,0,6.1,241.32,0.7,0.89,2.31,0,0,12.23,0,0,0,0.99,2.69,43.15,0,2.02,0,0
 36-46,0,0,0,0,0.56,0,24.62,0,0,0.79,9.58,0,0,0.67,0,0,0.6,0,0,10.89,0,0,0.84,247.78,0,0,0.78,0,0,19.52,0,0,0,0,0,71.67,0,0,0,0
 48-58,0,0,0,0,6.72,0,50.94,0,0.41,0.43,23.09,0,0,0,0,0,0,0,4.08,18.4,0.57,0,1.31,176.16,0,0,0.5,0,0.73,4.18,0,0,0,0,0,38.13,0,0.43,0,0
 60-70,0,0,0,0,2.36,0,72.39,0,0,0,9.32,0,0,0,0,0,0,0,0,32.28,0,0,1.29,224.36,0,2.95,0.77,0,0,1.13,0,0,0,0,0,25.68,0,0,0.87,7.79
 72-82,0,0,0,0,0.57,0,61.42,0,0,2.14,35.42,2.55,0,0.65,0,0,1.2,0,0,10.99,0,0.49,1.81,120.34,0,1.2,2.24,0,2.81,2.29,0,0,0,0,0,5.68,1.56,0,0,0.5
 84-94,0,0,0.98,0,4.09,0,71.67,0,0.9,0,19.37,0,0,1.65,1.26,3.08,1.2,0.6,0,24.99,0,0,4.36,111.47,0,0,0.74,0,0,3.78,0,0,1.35,0,0,8.69,0,9.46,0,1.31
 96-106,0,0,1.47,0,3.42,5.76,52.37,0.67,0,2.1,6.23,2.81,0,2.84,0,0,0,0,0,12.07,0,0,0,100.61,0,1.55,0,0,0,8.05,0,0,0,0,0,10.15,1.76,1.58,0,0.79
108-118,0,0,1.22,0,4.15,0,66.99,0,1.38,1.02,23.32,0,0,0.56,0,2.78,0.6,0,0,11.5,1.61,0,1.87,112.72,1.48,0,1.24,0,3.03,9.18,0,0,0.62,0,0,0,2.28,2.03,0,0
120,0,0,0,0,8.44,0,28.56,0,0,3.1,36.32,4.86,0,1.69,0,0,2.12,0,0,19.79,0,0,1.12,229.32,3.58,0,0,0,0,5.82,0,0,0,0,0,7.65,0,7.24,0,4.83
