stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,17.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.02,66.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,0,0,0,0,0
  7-9,0,5.69,0,0,0,0,0,38.68,0,0,0,0,0,9.05,0,0,0,0,0,0,0,0,0,128.15,0,0,0,21.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.97,0,0,0,67.54,0,15.61,0,0,0,0,0,0,0
 14-21,0,0,1.69,2.36,5.86,2.92,0,1.4,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,1.09,40.61,0,0,0,0,0.89,0,4.73,75.5,0,0,0,0,0
 24-34,0,0,0,1.23,2.43,0,0,4.09,0,0,0,0.95,0,0,0,0,1.36,0,0,1.53,0,0,1.43,300.06,1,3.72,0,0,7.56,1.39,1.55,182.67,0,0,3.62,0,0
 36-46,0,0,9.87,0,1.95,0,0,47.41,0,0,0,3.64,0,0,0,0,0,0,0,3.2,0,0,2.96,474.54,0,13.85,0.59,0,0,0,0,117.15,0,0,0.89,0,0
 48-58,0,0,0.99,0,1.65,0,0,105.91,0,0,0.54,7.33,0,0,0,0,0,0,0,6.85,0,0,2.36,690.04,0,6.73,0,0,0,0,0,102.93,0,0,1.51,0,0.48
 60-70,0,0,1.48,0,4.46,0,0,171.77,0,3.94,0.83,16.28,0,0,0,0,0,0,11.2,13.98,0,0,6.65,1003.87,1.42,13.95,0,0,1.07,0,0,67.61,0,0,0.82,0,0
 72-82,0,0,5.28,0,6.09,0,0,273.83,0.55,1.05,0,25.11,1.26,0,1.42,2.95,0,2.68,0,17.83,2.57,6.78,1.43,1169.27,0,19.31,3.04,0,0.6,0.68,0,52.9,0,0.75,2.26,0.96,5.52
 84-94,0,0,2.13,0,3.86,0,0,352.8,1.27,0,1.18,16.33,0,0,0,0,3.41,1.13,0,32.01,0,0,2.39,927.79,1.33,2.22,7.38,0,6.87,0,0,39.73,6.48,0,5.68,2.23,0
 96-106,0,0,3.09,0,10.74,4.7,0.6,511.02,0,0,2.67,25.33,2.95,0,0,2.52,0,0.75,0,43.84,0,2.17,0.69,830.01,0,18.09,0,0,20.75,0.6,0,20.16,0,0,0,0,0
108-118,0,0,7.94,0,22.57,3.95,2.77,489.99,0,2.9,1.54,22.64,5.68,0,0,1.15,0,0,0,37.79,0.87,1.8,2.23,862.75,0.53,28.86,0.89,0,9.09,0,0,15.97,5.16,0.9,9.02,3.43,1.42
120,0,0,3.64,0,22.07,1.53,0,439.18,0,0,0,53.59,0,0,0,0,4.13,0,1.6,42.83,0,2.35,7.86,1261.13,3.89,17.35,0,0,4.77,0,0,37.54,0,0,1.36,16.72,0
