stage,axial,blastomeres,eye,hatching.gland,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,75.39,2228.92,0,0,0,0,23.3,0
  5-6,76.44,795.2,0,0,8.03,0,18.14,0
  7-9,0,0,0,4.93,69.5,3.65,0,0
 14-21,0,0,0,0,1.28,0,0,0
 36-46,0,0,29.24,0,0,0,0,1.1
 48-58,0,0,2.91,0,0.79,0,0,0.81
 60-70,0,0,14,0,0,0,0,0
 72-82,0,0,10.23,0,0,0,0,0
 84-94,0,0,1.85,0,0,0,0,0
108-118,0,0,4.91,0,0,0,0,0
