stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,2011.56,36344.58,0,0,0,0,0,0,0,0,0,0,1283.45,0,0,0,0
  5-6,2148.55,28215.31,27.94,0,0,0,89.36,0,0,464.01,56.49,181.63,446.76,0,0,0,0
  7-9,135.22,264.45,78.5,0,0,365.31,34.71,0,0,4293.01,169.74,1463.31,4.29,72.07,0,0,0
 10-12,0,9.47,7.72,0,8.02,23.05,10.83,0,0,362.63,6.18,82.82,3.3,0,0,24.67,0
 14-21,0,0,0.91,0,1.86,2.36,0,0,0,18.64,3.47,0,3.32,0,2.26,0,4.58
 24-34,0,0,0.77,0,0,1.18,0,0,0,4.28,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,2.1,0,0.61,0,1.36,0,0,0.59,0.81,0,0,1.62
 48-58,0,0,0,0,0,2.92,0,0,0,0.5,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.43,0,1.68,0,2.63,0,0,0,0,0,0,0
 72-82,0,0,0,1.06,0,7.79,0,0,0,0.92,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.7,0,0.63,0.6,0,0.62,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.01,0,0,0,0.91,0,0,0,0,0,0,0
