stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,19.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.52,0,0,0,0,0,4.56,0,0,0,0,0,0
 10-12,0,7.4,0,3.11,0,0,0,0,0,11.25,0,0,25.65,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0
 24-34,0,0,0,0,0,0,3.61,0,0.73,8.43,0,1.71,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.17,11.14,0,0,0,0,0,1.84
 48-58,0,0,0,0,0,0,1.87,0,0,9.82,0,0,0,0,0,1.78
 60-70,0,0,0,0,0,0,0,0,0,8.44,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.04,1.42,0,3.11,0,0,0,0,0,2.23
 84-94,0,0,0,0,5.92,0,4.88,0,1.94,1.95,0,0,0,0,0,0
 96-106,0,0,0,0.9,0,0,1.22,0,0,1.44,0,0,0,0,0,0
108-118,0,0,0,0.43,0,0.58,2.44,0,0,10.88,0.69,0,0,0,0,0
120,0,0,1.46,0,0,0,0,0,0,8.61,0,0,0,1,0,0
