stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,112.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0
  5-6,200.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,9.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,14.64,0,0,0,6.84,0,0,0,0,0,0,0,39.58,0,0,0,27.12,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,1.44,0.82,0.89,2.94,0,0,0
 24-34,0,0,0,0,0.61,0,1.31,0,0,0,0,0,0,0.87,0,3.83,4.59,0.87,2.01,0,0,0,0,0.8,1.35,0,0,0,0
 36-46,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,6.1,0,0.81,0,0,0,0,2.77,0,1.5,0,0,0
 48-58,0,0,0,0,2.05,0.37,0,0,0,0.64,0,1.59,0,0.9,0,0.5,10.08,0,1.18,0,0,0,0,0,0,1.32,0,0,0
 60-70,0,0,0,0,2.53,0,1.18,0,0,0,1.5,0,0,2.68,0,0,1.51,0,4.93,0,0,0,0,0,0,3.38,0,0,0
 72-82,0,0,14.42,0,3.54,3.66,1.48,0,0,0,0,2,0,7.8,1.3,0,5.24,0,7.42,3.77,0,0.72,0,0.76,0,0,0,0,0.77
 84-94,0,0.56,30.53,0,4.23,0,3.2,0,0,0,0.64,0.65,0.89,12.58,0,0.76,7.61,0,0.56,0.55,0,0,0,4.19,0,0,0.63,0,0
 96-106,0,0,34.17,0,0,0,0,0,0,1,0,3.04,0,7.42,4.84,0,0,0,2.78,1.42,0,0,0,0,0,0,0,0,0
108-118,0,0,26.13,0.5,3.65,0,1.07,1.41,0,0,0,1.6,0.97,10.01,0,0.44,0,0,5.21,2.09,0,0,0,0,0,0,0,5.59,0
120,0,0,1.87,1.89,0,0,0,0,0,0,0,3.66,0,0,0,0,1.58,0,2.22,9.32,0,0,0,0,0,0,0,0,0
