stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,121.04,1627.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0,0,0,0
  5-6,63.44,1090.61,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,17.68,0,0,0,0,0,0,0,0,0
  7-9,0,23.3,0,19.04,0,0,0,218.74,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0,0,862.76,0,0,0,142.69,0,0,0,0,0,0,0,0,0
 10-12,0,15.05,0,10.41,0,0,0,234.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147.57,11.07,0,0,89.85,0,0,6.51,0,0,0,0,0,0
 14-21,0,0,0,2.71,13.29,9.52,0,102.7,0,1.17,0,0.92,0,0,0,0,0,0,0,0,2.4,0,0,360.47,0,0.98,2.17,0,0,2.9,0,0,0.82,73.9,2.49,0,0
 24-34,0,0,0,0,2.34,2.25,0,105.34,0,0,0,3.49,0,0,0,0.72,0,2.57,0,0.59,5.52,0,3.49,301.13,0,11.82,2.49,0,8.33,0,0,2.38,0.62,30.24,0.95,0,0.78
 36-46,0,0,0,0,2.97,2.12,0,136.34,0,0,0,13.05,0,0,2.68,11.25,1.88,0,2.82,0,6.74,0,0.69,311.31,0.62,9.69,3.85,0,6.75,0,0,0,0,34.17,8.37,0,0
 48-58,0,0,0,0,1.48,1.52,0,99.3,2.93,0,0,12.2,4.06,0,0,0,0,0.51,2.77,3.21,6.51,0,0,218.44,0,4.69,4.21,0,14.56,0,0,0,0,17.11,1.27,0,0
 60-70,0,0,0,0,5.48,0,0,63.74,1.64,0,1.34,23.31,5.62,0,0.78,0,3.16,0,3.33,0,5.02,0,0.68,183.89,0,1.4,0,0,4.24,0,0,0,0,17,1.58,0,5.08
 72-82,0,0,0,0,5.13,3.08,0,78,0.55,0,0.77,22.85,4.14,0,2.49,1.08,0.53,2.87,2.24,0,7.62,7.78,0.85,150.83,0,0,0.59,0,1.2,0,0,0.49,0,6.6,7.72,0,0
 84-94,0,0,3.91,0,6.52,9.53,0,95.98,0.66,0,2.34,31.35,6.99,0,9.83,1.28,3.49,3.28,1.81,0,26.49,1.17,3.45,148.23,0,9.37,0.59,0,8.59,0,0,0,0,1.47,3.68,0.63,2.44
 96-106,0,0,0,0,2.08,2.5,0,82.39,2.75,1.54,0,20.69,3.13,0,4.15,0.99,6.57,0,3.07,0,4.83,0.93,1.95,102.45,0.62,1.24,1.91,0,2.32,0,0,0,0,1.74,6.09,0,0
108-118,0,0,0,0,9.98,12.34,2.54,75.14,0,0.42,2.26,29.34,0.64,0,11.51,0,3.37,2.62,0,0,18.48,0,3.52,176.68,0,10.08,1.49,0,2.98,0,0,0,0,0,17.4,0,3.21
120,0,0,0,0,22.71,12.15,0,62.91,0,1.18,0,27.75,0,0,8.74,0,0,3.39,0,0,48.61,0,2.74,129.52,0,8.07,0,0,1.68,0,0,0,0,13.05,30.45,0,0
