stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.72,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.84,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,31.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,7.04,0,0,3.03,0,0,0,0,0,0,0,0,0,0
 14-21,3.91,0,91.98,0.83,0,0,0,0,0,0,1.03,0,0,0,0.96,0,2.47,0,0,1.07,1.65,0,8.14,13.21,0,1.51,3.65,0,0,0,0,9.7,0,5.07,5.79,6.97,0,0,0,0,0
 24-34,2.09,0,49.38,0,0,3.8,1.2,1.78,0,2.46,0,0,0,0,0.62,0,434.54,0,0,2.34,1.44,0,3.39,88.42,0.69,226.19,6.66,0,0,3.34,0,0,0,2.4,1.41,2.38,0,0,2.08,0,0
 36-46,0.95,0,15.48,0,0,7.57,0,4.77,0,1.7,0,0,0,3.25,0,0,342.91,0,0,1.34,2.03,0,0.68,163.83,0,151.96,33.31,0,0,4.68,0,0,0,0,0,0.86,0,0,0,0,1.67
 48-58,0,0,6.45,0,0,12.78,0.58,0.46,0.88,2.82,1.96,0,0,0,0.44,5.32,460.91,0,0,4.28,2.73,0,0.79,61.58,0,118.38,43.63,0,0,2.42,0,0,0,0,0,6.56,0,0,0,0,4.99
 60-70,6.28,0,46.88,0,0,10.42,0,0,0,0.99,3.89,0,0,0,0,0,485.34,7.26,0,16.88,1.02,0,0.88,50.1,0,89.53,101.72,0,0,2.32,0,0,0,0,0,3.42,6.05,0,0,0,4.24
 72-82,12.52,0,153.53,4.69,0,46.49,0,0,0,5.04,19.89,0,0,0.51,0,0,1012.02,0,0,42.85,2.79,3.83,3.32,103.87,0,129.58,23.68,0,0,10.59,3.31,0,0,0,0,3.5,21.58,1.53,6.79,0.73,0
 84-94,13.08,0,175.19,0,0,53.27,1.27,0.72,0,3.32,63.27,0,1.66,3.41,0,0,1583.44,0,6.6,33.92,0,1.6,1.73,85.2,0,498.68,16.93,0,0,11.25,0,0,0,0,0,8.15,23.82,0,1.29,0,3.62
 96-106,14.73,0,76.05,5.86,7.73,55.72,0,7.2,0,8.36,74.4,0,1.61,5.58,11.18,0,2098.66,5.88,0,24.2,1.96,0,0,98.58,0,589.37,49.13,0,0,18.54,31.31,0,0,0,0,0,16.05,0,1.93,4.83,4.15
108-118,3.38,3.19,25.71,4.67,2.07,41.33,0,1.69,3.86,17.11,162.07,0,0,0,19.59,0.89,1165.1,1.3,0,33.45,0,2.23,2.43,96.65,0,377.64,6.13,0,4.3,12.08,0,0,2.63,0,0,4.66,19.65,0,3.74,12.19,1.39
120,0,0,41.26,5.14,0,28.46,0,3.57,0,4.81,79.86,0,0,6.35,0,0,780.91,2.58,0,1.56,0,0,4.22,78.24,0,207.73,9.44,0,0,8.7,0,0,2.89,0,0,0,8.07,0,0,8.42,0
