stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,14.16,313.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,0,0,0,0,0,0,0
  5-6,0,275.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59,0,0,0,28.49,0,0,0,0,0,0,0
  7-9,13.98,7.6,19.76,0,0,0,25.68,0,0,0,0,0,0,0,0,0,0,0,0,143.65,4.03,0,40.29,0,0,0,0,0,0,0,0
 10-12,0,0,9.14,0,0,0,3.73,0,0,0,0,3.04,0,0,0,0,0,0,0,122.25,0,0,75.96,5.16,0,5.63,0,0,0,0,0
 14-21,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,9.29,0,0,2.6,0,0,0,0,0,0,0,0,0.97,0,0
 24-34,0,0,0,0,0,0,0.6,0,0,0,0.77,0,0,0,0,0,0.65,0,5.51,7.45,0,0,0,1.06,0,0,1.41,9.8,6.8,0,0
 36-46,0,0,0,0,1.3,0,2.91,6.4,0,0,0,0,0,0,0,0,1.21,0,3.43,8.64,0,0,0,0,0,0,0,0,1.97,0,0
 48-58,0,0,0,0.4,0,0,7.35,11.26,0.53,11.41,0,0,0,0,0,0,1.46,0,0.58,7.24,0,0,0,0,0,0,6.07,0,0.44,0,0
 60-70,0,0,0,0,0,0,6.04,13.36,0,0,0,0,0,0,0,0,0,0,11.67,14.1,0,0,0,1.33,0,0,12.02,0,2.14,3.13,0
 72-82,0,0,0,0,0,1.16,4.53,9.22,0,0.68,0,0,0,0,0,4.65,4.48,0.7,0,9.32,0,0,0,0.55,0,0,8.22,0,2.01,0,0
 84-94,0,0,0,0,0.79,0,11.53,12.39,0,1.16,0,0,0,0,0,0,3.95,0,3.71,1.17,0,0,0,0,0,0,8.21,0,0,0,0
 96-106,0,0,0,0,8.5,0,4.74,13.38,5.35,3.4,0,0,0,0.88,0.77,0,5.55,0,1.43,6.17,0,0,1.2,1.67,0,0,12.2,0,0,1.15,0
108-118,0,0,0,0,0,0,13.95,22.91,0,2.22,0,0,2.89,0.42,0,0,2.93,0,12.77,6.76,0,2.14,8.11,0.43,0,0,16.18,0,0,0,0.48
120,0,0,0,0,0,0,29.73,42.05,0,0,0,0,0,0,0,0,2.69,0,4.11,23.3,0,0,0,0,1.12,0,15.63,0,0,0,0
