stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,33.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.24,0,16.14,0,0,3.79,0,0,0,20.08,7.1,0,5.99,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,58.75,7.04,0,5.16,0,0,0,0
 14-21,0,0,1.03,1.95,0,0,0,0,0.92,0.99,19.91,0,0,0.82,0,0,1.08,0
 24-34,0,0,0.67,2.97,0.77,0,0,0,0,1.61,2.75,0,0,0,0,3.71,0.9,0
 36-46,0,0,0,0.79,0,0,0,0,3.9,0,1.19,0,0,0,0,4.14,1.4,0
 48-58,0,0,0,5.3,0,0,0,0,1.24,0,0.59,0,0,0,0,5.55,0,0
 60-70,0,0,0,7.85,0,0,0,0,0.65,0,0,0,0.95,0,0,19.01,0,0
 72-82,0,0,1.04,1.08,0,1.99,0,0,2.26,0.54,0,1.76,0,0,0,78.89,0,0
 84-94,0,0,0,3.96,0,0,0,4.41,0,0,5.32,0,0,0,0,358.4,0,0.57
 96-106,0,0,2.83,1.19,0,0,0,0,5.91,0,19.27,0,0,0,3,427.22,0,0
108-118,0,0,0.87,5.27,0,0,0,8.66,12.19,0,6.22,0,0,0,0.61,402.6,4.54,0
120,0,0,0,4.61,0,0,0,8.86,6.32,0,2.18,0,0,0,0,264.29,0,1.52
