stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,fin.mesenchyme,gut,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  5-6,0,26.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,3.73,12.45,0,5.44,0,0
 10-12,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0.88
 24-34,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,8.56
 36-46,0,0,0,0.74,0,0,0,0,0.65,0,11.94,0.66,1.04,0,0,16.78
 48-58,0,0,0,0.72,0,0,0,0,0,0.52,22.34,0,0,0,0.46,11.01
 60-70,0,0,0,0,0,0,1.05,0,0,0,8.81,0,0.98,0,0,2.16
 72-82,0,0,0,0,0.53,0,12.04,0,0,0,24.35,0,0,0,0,2.96
 84-94,0,0,6.08,0,3.27,0.91,9.6,0,0,0,8.43,0,3.07,0,0,0
 96-106,0,0,1.66,0,0,0,18.11,0,1.69,0,22.75,0,1.03,0,0,0
108-118,0,0,0,0,1.5,0,15.43,1.24,0,0,18.76,0,8.34,0,0,2.91
120,0,0,0,0,5.96,0,63.33,0,0,0,5.52,0,7.02,0,0,0
