stage,epidermis,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,0,0,0.84,0,0,0,0,14.21,0,0,0,0
 24-34,0,1.08,0,0,0,3.97,385.3,0,8.89,0,0,6.69
 36-46,0,0,1.07,0,0,2.63,365.55,0,1.45,0,0,0
 48-58,0,0.99,0,0,0.53,12.79,123.16,0,0,0,0,0
 60-70,0,0,0,0,0,0,45.53,0,0,0,0,0
 72-82,0,0,0,0,0,3.06,52.7,0,0,0,0.96,0
 84-94,0,0,0,0,8.71,0,146.83,0,0,0,0,0
 96-106,0,0,0,2.73,0,5.45,94.95,1.22,0,2.05,0,0
108-118,1,0,0,0,0,0,121.26,0,0,0,0,0
120,0,0,0,19,0,0,81.24,0,0,0,0,0
