stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.66,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.99,0,0,9.64,0,0,6.76,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,19.39,0,0,0,10.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,18.81,0,0,0,0,0,0,0
 14-21,0,0.93,4.8,8.47,191.13,217233.11,68.1,0,0,0,16.32,3.8,22.37,9.81,0,4.49,0,0,20.46,6.39,125.32,1.02,0,70.61,1198.18,83.18,6.4,12.43,13.84,0,107.83,0,252.78,10.35,94.03,231.96,433.85,0,31.8,0,0
 24-34,0,0.83,20.82,66.45,1706.68,742459.11,2921.52,43.82,131.97,48.5,466.28,70.43,110.68,139.35,626.42,180.18,64.64,57.5,418.91,235.22,2674.67,71.68,22.28,2129.93,32983.31,433.52,376.19,265.02,0,6.57,2780.47,4.42,16.01,191.9,282.01,916.19,4828.14,0,1466.87,0,293.85
 36-46,0,0,26.1,11.16,430.82,367424.81,1749.06,44.93,102.23,44.88,385.52,9.74,4.4,37.85,135.83,50.46,28.57,21.28,145.34,159.62,1152.52,13.27,13.75,494.88,13181.29,121.53,99.09,78.88,0,11.45,1282.51,4.31,13.78,67.02,68.09,28.97,2279.43,1.37,492.95,0.78,209.17
 48-58,0,0,1.89,1.93,245.67,280117.92,3092.81,59.64,61.27,83.04,699.81,56.64,3.67,24.23,37.08,17.18,14.6,12.21,51.97,96.75,1181.64,14,36.6,211.83,9828.3,74.66,44.85,38.85,9.55,1.99,653.7,0,0.92,106.12,21.61,2.82,1912.52,0.61,498.09,1,543.46
 60-70,21.79,0,1.67,0,73.34,58280.64,1523.53,1.73,16.07,14.88,141.9,1.27,2.73,1.87,15.42,2.97,39.33,1.23,38.31,21.04,355.08,1.14,12.01,43.08,2568.93,22.25,9.28,27.09,0,0,137.16,0,0,6.99,10.3,0,342.44,3.16,39.5,2.79,175.05
 72-82,0,0,0.98,0,15.3,6819.73,385.33,0,0.55,6.51,46.16,4.09,0,0.74,3.65,0,0,1.03,0,21.82,88.77,0.92,8.06,2.86,571.82,0.77,4.84,9.15,0,0,13.32,0,0,0,0,0,61.49,7.08,3.2,3.97,34.55
 84-94,0,0,1.42,0,2.83,2346.13,108.93,7.23,0.95,0,16.79,3.85,0,0,20.97,0,4.64,0,0,0,12.58,0,0.89,3.81,146.83,1.4,0,0.84,0,0,15.77,0,0,1.85,1.58,0,23.53,0,0,0,8.86
 96-106,0,0,0,0,1.66,255.06,68.68,2.97,0.96,0,0,0.81,0,0,0,3.48,0,0,0,0,30.98,0,0,1.23,38.39,0.6,3.49,7.66,0,0,9.48,0,0,0,7.42,0,0,0,0,30.87,0
108-118,0,0,2.35,0,1.36,268.62,32.35,0,1.27,0.8,1.07,0,0,0,0,0.49,1.59,0.47,1.44,0,17.85,2.55,2.07,0,26.4,0,0,0,0,1.84,6.95,0,0,1.91,0,0,0,0,6.44,0,0.84
120,0,0,0,0,0,101.08,32.66,0,0,0,25.06,0,0,0,0,0,0,0,0,0,6.07,0,0,0,57.6,0,0,0,0,0,8.62,0,0,0,0,0,0,0,96.42,0,0
