stage,eye,mesenchyme,neural,pronephros,spinal_cord
 24-34,0,0,4.34,0,5.46
 36-46,0,0,15.6,0,5.61
 48-58,0,0,31.21,0,1.2
 60-70,1.04,0,26.62,0,4.23
 72-82,5.38,0,55.35,0,0
 84-94,0,1.09,24.17,0,0
 96-106,0,1.01,16.09,0,0
108-118,5.42,0,9.22,0.94,0
120,18.08,0,47.01,0,0
