stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.11,0,0,0,0,427.65,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,257.62,0,0,0,22.89,0,0,0,0,0,0,0,0
 10-12,83.7,0,14.47,0,0,1015.74,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,2098.89,0,0,0,109.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,166.56,58.51,134.9,0,0,0,0.88,0,0,0,0,0,4.32,0,2.35,0,0,1.88,500,0,0,22.25,0,0,6.16,0,1,203.5,0,0,0
 24-34,0,0.66,0,34.6,7.11,115.29,0,0.82,0,8.42,0,0,0,0,0,40.3,1.33,2.75,0.68,0,4.82,1060.47,0.67,0.6,30,0,1.61,0,0,0,409.19,7.1,0,0
 36-46,0,0,0,8.56,0,70.6,0.64,0,0,59.99,0,0,0.65,0,0,31.7,0,1.26,0,0,0,1547.33,0,1.44,15.58,0,0,0,0,0,362.86,0,0,0
 48-58,0,0,0,6.72,0,93.28,0.67,0.38,0,135.55,0,0,0,0,0,33.82,0,6.78,0,0,2.32,1770.05,0.5,0.92,19.96,0,1.73,0,0,0,244.53,2.51,0,1.96
 60-70,0,0,0,11.18,0,76.42,0,3.17,0,172.64,0,0,0,0.69,0,12.1,0,5.98,0.84,0,0,1826.26,0,0,34.61,0,0,0,0,0,87.74,0,0,6.73
 72-82,0,0,0,5.17,0,95.57,0.79,0,0,176.77,0,0,0.89,0,0.57,28.78,3.72,25.26,0,0,0,1695.02,0,0,20.08,0,1.24,0,0,0,83.78,0,0.84,8.54
 84-94,0,0,0,8.88,1.02,81.69,0,0,0.91,108.24,0,0,0,0.84,0.63,15.15,1.78,12.33,0,0,0,1201.31,0,0.64,61.42,0,0.78,0,1.98,0,41.82,0,0,1.28
 96-106,0,0,0,8.89,0.63,69.08,1.75,2,0,151.66,0,0,0,1.54,0,23.71,0,20.54,0,1.09,0,850.73,0,0,55.17,0,3.75,0,0,0,24.36,0.77,0,0
108-118,0,0,0,3.73,3.11,69.54,0,0,3.33,174.56,1.96,0,0,0.87,0,14.83,0,14.3,0,7.68,1.64,1411.61,0.69,2.78,60.09,0,0,0,0,0,10.56,2.03,0.9,0
120,0,0,0,13.78,2.17,118.16,0,0,0,262.64,0,0,0,6.17,0,22.53,0,31.54,0,0,0,2194.81,0,0,83.88,0,0,0,0,0,20.89,0,0,0
