stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,359.27,8046.67,0,0,0,0,0,0,0,0,0,0,0,0,0,274.73,0,0,0,0,0,0
  5-6,623.65,7094.27,17.23,0,0,0,0,0,49.61,0,0,179.5,7.94,0,59.44,164.49,0,0,0,0,0,0
  7-9,99.3,102.62,187.04,0,0,260.28,0,0,183.76,0,0,3163.37,103.11,0,1108.22,7.66,24.19,0,0,0,0,0
 10-12,0,55.22,49.63,0,0,134.54,0,0,17.96,0,0,1041.32,32.49,0,334.33,0,0,0,34.25,0,7.22,0
 14-21,0,0,3.95,35.44,7.7,21.85,0,6.76,0,10.21,10.55,110.64,12.9,0,2.65,2.12,0,34.21,9.08,1.38,18.93,27.84
 24-34,0,0,0,1.05,0.67,4.62,0,0,0,0.66,0,6.49,0,1.72,0,0,0.86,0,0,0,0.8,2.09
 36-46,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.58,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.61,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.02,0,0,0,0,0,0,0,1.39,0,1.08,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
