stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,mural_cell,neural,notochord,olfactory,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1.92,0,0,0,0
 24-34,0.75,0,0,0,0,0,0,0,0,0,0,0,1.16,0.68,0,23.99,0,0,0,0.6,6.15,0,0,0,0
 36-46,0,5.57,1.12,0,0.95,0,0,0,0,0,0,0,0,0.61,0,90.85,0,0.59,0,0,34.08,0,0,0,0
 48-58,0,0,0,0,11.02,2.36,0,0,0,0,0,0,0,1.32,0,194.96,0,0.86,0,0,20.49,0,0,0,0
 60-70,0,2.24,0,0,29.99,0,0,0,0,0,0,0,0,6.54,0,264.97,0.7,0,0,0,32.31,0,0,0,0
 72-82,0.88,1.16,0,0,37.13,0,0,0,0,0,0,3.54,0,1.29,0,315.14,0,1.33,1.67,0,15.35,3.98,0,0,4.46
 84-94,0,5.01,0.67,0,31.47,0,0,0.83,0,0,0.67,0,0,2.54,0,192.16,0,0,2.59,0,21.19,0,0,0.62,0
 96-106,0,0,10.31,0,13.98,0,0.86,3.1,0,1.02,0,0,0,2.53,2.61,113.56,0,0,0,0,5.96,2.03,0.75,0,0
108-118,0,0,0,1.62,29.98,0,0,0,0,0,0,0,3.13,0,0,144.52,0,0,1.19,0,10.61,0,0,0,0
120,0,0,0,0,43.47,0,0,2.56,6.18,0,0,0,0,17.86,0,261.67,0,0,0,0,5.86,0,0,0,0
