stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,31.42,0,0,0,0,0,0,0,0,0,0,0,0,35.68,0,0,8.87,0,0,0,0,0,0,0
 10-12,10.81,0,0,0,0,0,0,0,0,0,0,0,0,31.28,0,0,3.8,0,0,0,0,0,0,0
 14-21,0,4.32,0,0,0,0.87,0,13.34,1.36,0,0,0,0,4.34,0,0,0,0,0,2.36,0,0,0,0
 24-34,0,0,0.66,0.8,0,10.54,0,103.17,0,0,0,0,0,25.72,0,0,0,0.64,0,37.89,0,0,0,0
 36-46,0,0,0,1.23,0,0,0,164.38,0,0,0,0,0,41.07,0,0,0,0,0,115.93,0,8.01,0,0
 48-58,0,1.77,0.4,9.03,0,0.4,0,305.32,0,0.77,0.38,3.11,0,45.42,0,0,0,0,0,343.72,0,1.98,0,5.36
 60-70,0,0.72,0,5.15,1.34,0,0,353.04,0,0,19.38,1.73,0,27.94,1.1,0,0,0,0,168.7,0,5.11,0,0
 72-82,0,0,0,17.18,0,0,0,514.71,0,0,0,18.85,0.57,11.73,0,0.76,0,0,0,68.62,1.41,1.23,0,2.8
 84-94,0,2.3,0.92,19.64,1,0,0,474.75,0,0,0,42.1,0,36.31,0,0,0,0,0.69,87.67,0,1.2,0,0
 96-106,0,0,0,15.11,0,0,0,336.09,0,0,0,51.36,0,28.24,0,0,0,0,0,21.85,1.2,1.9,2.56,0
108-118,0,0,0,5.2,0,0,0,294.47,0,1.02,0,50.05,0,20.06,0,0.48,0,0,0,13.78,0,1.5,0,0
120,0,0,0,1.26,0,0,4.41,289.77,0,0,0,33.64,0,39.23,0,0,0,0,0,3.79,0,0,0,0
