stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,67.19,1987.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.18,0,0,0,0,0,0,0,0,0,0
  5-6,103.53,1249.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.71,0,0,0,8.65,0,6.49,0,0,0,0,0,0,0,0,0,0
  7-9,0,40.04,22.12,0,0,0,15.53,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,319.55,4.1,0,0,95.53,0,15.45,23.52,0,0,0,0,0,0,0,0,0
 10-12,0,20.64,17.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.4,0,0,0,105.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.92,3.85,0,0.87,0,0,1.73,0,0,2.73,0,0.97,0,0,8.4,0,8.09,0,0,5.42,41.65,1.74,0,1.09,0,0,0,0,8.87,0.9,1.87,4.93,11.44,0,0,0,1.85
 24-34,0,0,0,2.28,0,0,3.17,0,0,3.12,0.64,0,0,0,6.32,0,3.2,0.73,1.23,2.89,0,0,2.78,86.3,0,1.87,0,0,0,2.51,0,0,0,0,0,17.77,0,2.23,0,0
 36-46,0,0,0,1.41,0,0,5.46,0,0,5.36,0,0,0,0,0,0,0,0.67,0,4.99,0,0,2.08,63.9,0,3.51,0,0,0,6.14,0.81,0,0,0,0,23.28,0,0,0,2.15
 48-58,0,0,0,2.03,0,0,13.19,5.57,0.4,6.92,0,2.77,0.5,0,0.37,0,0,0,0,8.82,0.42,0.43,1.42,39.25,0,3.14,1.22,0,0,0,0,0,0,0.46,0,8.64,0,1.33,0,0
 60-70,0,0,0,1.01,1.04,0,48.5,0,0,7.75,0,0,0,0,0,0.6,0,0,3.26,22.34,0,0,0.63,113.93,0,3.53,0,0,0,0.82,0,0,0,0,0,9.27,0,0.83,0,5.3
 72-82,0,0,0,2.59,0,0,31.67,0,0,7.26,0,0,0,0,0.54,0,0.72,0,0,22.72,0,0.63,0,67.19,0,0,0,0,0,8.78,0,0,0,0,0,2.16,0,0,0,3.16
 84-94,0,0,0,1.78,2.61,0,63.28,0,0,5.76,0.61,0,0,0.76,1.8,6.34,0,0,0,9.08,0,0.92,0,68.63,0,0,0.71,0,0,10.13,0,0,0,0,0,1.21,0.56,0,0,2.4
 96-106,0,0,0,0,3.58,0,58.21,0.73,0,2.55,2.24,0,0,1.8,0.89,0.72,0,0,0,12.88,0,0,0,66.95,0.77,3.46,0,0,0.81,10.35,0,0,0,0,0,5.91,0,9.07,0,1.93
108-118,0,0,0,2.97,7.13,0.45,26.45,0.64,0.6,7.53,0,0,0.69,0.64,0.65,0,0,0.6,0,16.28,0,0,0,55.14,0,1.17,1.22,0,0,4.08,0,0,0,0,0,2.58,0,2.42,2.59,1.19
120,0,0,0,6.34,0,0,27.37,1.65,0,25.39,0,0,0,1.87,4.61,0,2.05,1.4,0,15.22,0,0,0,88.68,0,1.09,0,0,0,3.62,0,0,2.05,0,0,1.98,0,7.32,0,0
