stage,axial,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,0,0,4.37,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,13.16,0,0,82.48,10.52,0,0,0,0,1.54,22.62,0.88,0,1.14,0
 24-34,0,1.34,1.61,2.44,0,1.54,0,4.13,0,0,101.63,0,1.63,135.55,14.47,0.83,1.61,0,0,0,1.03,5.47,0,0,0
 36-46,0,0,0.66,2.04,0,3.49,4.3,7.56,0,0,267.99,0,5.71,112.96,21.4,0,0,0,0,0,0,1.73,0,0,0
 48-58,0,0,0,7.03,0,2.17,0.51,1.76,0,0,172.43,0.74,5.45,68.14,6.14,1.03,0.73,0,0,0,0,3.18,0.42,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.57,185.28,2.53,15.6,35.85,11.86,0,1.08,4.49,0,0,0,8.21,2.19,0,1.28
 72-82,0,0,0,10.59,0.81,4.17,3.56,0,0,0,187.4,1.05,17.65,31.08,19.02,0,1.08,0,0,0,0,4.56,3.3,0,0.91
 84-94,5.55,0,0.83,1.99,0,6.89,0,1.1,1.91,0,159.4,0,11.41,23.73,7.86,0,0.79,0,0,0,0,10.84,4.3,1.76,1.98
 96-106,0,0,0,3.09,0,1.72,0,2.26,0,0,200.94,0,9.65,17.36,7.31,0,1.05,0,0,0,0,11.31,3.56,0,0
108-118,0,0,0,0.59,0,1.39,3.19,0,0,0,154.83,0,15.6,22.69,13.34,0,0,0,0,0,0,2.44,1.57,0.72,2.32
120,0,0,0,3.89,0,0,0,0,0,0,112.48,0,3.7,3.79,29.49,0,0,0,0,0,0,0,0,0,0
