stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0
  5-6,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.29,0,0,0,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.97,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,204.22,0,0,0,17.85,0,0,0,3.43,0,0,0,0,0,0,0,0
 14-21,0,0,27.18,100.64,3.71,0,319.39,0,5.25,0,0,39.19,0,3.21,0,0,0.87,0,20.89,0,69.64,0,0,7.11,214.23,0,0,3.49,0,0,15.89,1.63,0,3.79,0,15.08,0,0,1.63,0,0
 24-34,2.5,0.75,27.89,134.64,16.15,0,520.93,0,98.79,3.72,2.57,29.03,0,5.52,0,3.16,0.7,0,8.5,0,340.53,1.41,0,29.79,236.5,0,1.71,12.63,0,0,6.21,0,9.9,8.28,6.64,30.98,0,0,0.63,0,0
 36-46,0,0,1.49,46.66,2.49,0,278.81,0,147.96,28.5,13.95,12.33,0,22.22,0,0,0,0.96,8.66,0,506.04,0,4.07,93.82,243.53,0,12.49,35.52,0,4.84,4.43,0,3.56,8.25,0.69,32.22,0,0.85,1.88,0,0
 48-58,0,0,0.93,63.34,2.21,0,192.04,2.4,110.73,58.24,105.63,3.71,0,3.86,0,1.9,16.41,0,3.62,0,534.96,2.38,13.08,92.2,198.97,0,6.94,51.18,0,4.1,2.72,0,2.73,0.95,0,49.35,0,2.92,1.57,4.12,0.63
 60-70,0,0,0,65.1,0,0,129.3,0,182.34,47.08,124.98,5.26,0,2.78,0,3.15,3.18,4.16,1.41,0,736.84,2.92,14.7,75.32,222.84,1.01,3.55,29.13,0,1.66,5.02,0,1.89,2.31,0,68.06,0,23.41,7.12,7.09,1.56
 72-82,0,1.58,0.56,69.3,4.59,0,168.2,1.33,143.21,86.82,199.8,11.54,0,0.51,0,1.82,9.89,2.73,4.11,0,950.34,2.35,18.43,82.8,203.96,0,3.3,104.44,1.13,0,10.65,0,1.93,3.98,0,53.64,0.69,25.9,7.26,44.02,7.06
 84-94,0,0,0,109.01,0,0.7,176.2,0,203.07,35.54,168.11,9.98,0,4.8,0.71,8.08,26.27,0,1.24,4.96,798.97,2.78,26.96,68.16,115.67,0,0.71,128.18,0,0,8.61,0,2.46,1.23,0,33.33,1.79,23.27,7.95,63.86,14.6
 96-106,0,1.11,0,119.29,8.55,0,150.69,0,224.77,58.64,308.51,25.2,0,4.03,2.44,7.18,33.1,0,10.52,0,861.66,9.35,6.46,46.63,167.87,0,5.89,104.65,1.2,2.06,25.6,0,1.66,0,0,88.83,3.5,22.04,14.61,43.69,8.88
108-118,0,0.57,0,157.01,2.19,1.12,138.52,0,335.09,37.56,265.26,39.94,0,6.64,1.85,4.89,61.4,1.07,16.12,0.47,1112.61,0,25.58,67.09,172.23,0,6.29,129.91,0,7.67,11.88,0,1.52,0.73,0,43.72,13.18,12.37,15.79,57.52,11.32
120,0,0,0,146.05,0,0,105.53,0,237.05,51.23,104.4,13.95,0,2.27,1.58,1.01,38.21,14.8,3.79,0,822.5,11.83,18.57,41.65,284.92,0,0,150.45,0,0,2.74,0,0,1.32,0,37.61,5.04,37.18,6.04,61.25,0
