stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,229.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.55,375.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.08,15.73,0,0,32.32,0,0,0,0,0,10.79,0,0,0,0,0,0,0,0,0,279.69,10.01,0,0,48.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,0,0,14.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.51,0,0,0,60.68,4.24,5.33,0,0,0,5.74,0,0,0,0,0
 14-21,0,0,0.93,8.87,1.03,1.85,0,0,0,2.11,1.79,0,0,0,0,0,0,1.88,0,0,9.78,25.55,0,0,0.87,1.83,2.98,0,17.9,0,0,37.66,14.81,0,0,0.82,0
 24-34,0,0,0,3.29,0,2.44,8.76,0,0,8.41,0.67,0,0,0,2.12,1.12,0,6.63,0,0,0.65,41.59,0,0,1.16,0,10.01,0,0,0,1.55,2.31,17.44,0,0,2.56,0
 36-46,0,0,0,0,0,4.2,0,0,0,7.66,0,0,0,0,0,0,0,6.25,0,0,0.6,146.74,0,0,0,0,18.84,0,0,0.6,0,0,27.88,0,0,2.68,0
 48-58,0,0,0,1.38,0,17.6,0,0,0,14.53,0,0,2.66,0,0,0,0,10.53,0,0,1.04,197.59,1.38,2.49,0.47,0,1.78,0,0,0,1.46,0,33.14,0,0.4,0,0
 60-70,0,0,0,4.38,0,33.15,0,0,0,22.36,0,0,0.69,0,0,0,0,14.25,0,0.66,0.68,75.88,0,2.34,0,0,1.79,0,0,0,0,0,16.86,0,0,1.47,0
 72-82,0,0,0,0.69,0.57,58.03,0,0,3.38,29.31,0,0,0,0,0.52,0,0,26.27,1,2.66,4.21,286.39,0,0,0,0,1.09,0,0,0,0,0,31.15,0,0,2.3,0.57
 84-94,0,0,0,0.88,0,35.04,0,0,0,20.35,0,0,0,0,0.8,0,0,5.96,0,0,0,78.37,0,0,0,0,7.95,0,0,0.73,0,0,32.5,0.71,1.04,0,0
 96-106,0,0,0,2.04,0,52.15,0.71,0,9.47,12.97,1.54,0,0,0,0,1.11,0,19.59,0,0,6.97,129.03,0,0.7,1,0,14.67,0,0,0,0,0,0,3.69,0,0,2.04
108-118,0,0,0,4.23,0,18.14,0,0.5,0,9.74,0,0,0,0.42,1.34,0,4.07,6.9,0,0,1.09,50.66,1.1,0,6.06,0,16.77,0,0,2.25,0,0,2.98,0.67,0,0.93,0
120,0,0,0,14.14,0,56.73,0,0,0,25.72,0,0,0,1.12,0,0,0,29.65,1.56,0,1.74,122.69,0,13.95,1.84,0,31.33,0,0,0,0,0,0,0,0,5.67,0
