stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
 14-21,0.85,0,0,0,0,0,0,0,2.64,24.11,0.96,0.95,1.82,1.83,1.51,0
 24-34,1.48,0,0,1.01,0,0,0,4.49,0,49.92,0,0,0.73,0,13.32,0
 36-46,0.56,0,0,16.78,5.67,0.72,0,9.18,0,40.27,0,0,0,0,4.13,5.34
 48-58,3.35,0,0,31.56,0.51,0,0,0.71,0,28.78,0,0,0,0,1.21,2.46
 60-70,0.9,2.21,0,42,0,0,0,3.03,0,28.49,0,0,0,0,0,0
 72-82,0,0,0,4.24,0,0,0,0.56,0,9.95,0,0,0,0,0,2.63
 84-94,0,0,1.39,2.79,2.76,0,0,0,0,0.84,0,0,0,0,0,0
 96-106,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,2.2
108-118,0,0,0,0,0.5,0,0.67,0,0,0.61,0,0,0,0,0,0
120,0,0,0,9.75,0,0,1.51,0,0,13.56,0,0,0,0,0,0
