stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.94,308.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.16,0,0,0,0,0,0,0,0,0,0
  5-6,6.93,113.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,0,0,0,0,8.97,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,50.94,0,0,0,22.08,0,12.47,0,0,0,0,0,0,0,0,0
 10-12,0,7.14,0,6.41,0,10.62,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.49,8.87,0,0,34.73,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,0.93,2.36,0,1.83,0,0,0,1.22,0,0,0,0,0,0,0,14.01,0,0,0,0,4.51,20.78,0,0,0,0,7.47,1.4,0.96,0,9.09,15.55,0,0,0,0,0
 24-34,0,0,4.06,0,3.57,0,0,9.41,0,0,0.64,2.61,0,0,0,0,0.66,0,0,5.94,0,5.21,0,0,3.9,284.4,0,4.61,1.72,0,5.69,0,0,0,1.38,65.95,0,0,2.69,0,0
 36-46,0,0,0,0,0,0,0,25.46,0,0,0.62,8.39,0,0,0,0,0,0.56,0,0,0,7.61,0.77,0.92,0.58,785.83,0,4.79,0,0,6.61,0,0,0,0,179.91,0,0,21.45,0,0.61
 48-58,0,0,0,0,0,0,0,140.16,0,2.13,7.28,15.14,0,0.39,0,0,0,0,0,0,1.72,18.06,0.37,0,4.97,936.07,10.17,3.78,4.14,0,0,0,0,0,0,229.5,0,0,5.19,0,1.74
 60-70,0,0,0,0,5.42,0,0,412.13,0,0,8.58,37.39,0,0,0,0.57,0,0,0,2.19,0,17.07,0,0.86,0.88,1044.69,0,1.56,1.69,0,9.9,0,0,0,0,211.64,0,0,8,0,0
 72-82,0,0,3.43,0,2.51,7.9,0,375.76,2.27,3.67,0.93,23.97,1.67,0.59,2.04,0,0,1.24,4.99,0,0,37.48,0,0,3.66,824.55,0,5.46,2.35,0,13.63,0,0,0.63,0,118.6,0,1.32,13.72,0,0.55
 84-94,0,0,4.37,0,20.73,9.15,0,262.49,1.29,0,6.8,21.47,3.56,0,0,0.59,3.56,0.57,0.86,1.72,5.22,20.86,0,0.63,1.67,533.49,0,0,5.47,0,16.37,0,0,0.76,0,70.82,0,0,4.36,1.36,2.42
 96-106,0,0,7.56,0,3.83,0,0.9,356.35,3.39,0,1.1,23.8,2.25,0,0,4.67,0,1.09,0.92,0,0,19.37,6.46,0,0,416.34,1.15,11.08,6.62,0,21.63,0,0,0,0,31.27,0,0,21.99,0,9.55
108-118,0,0,4.27,0,10.69,2.24,0,193.74,0.46,3.96,1.42,5.61,0.92,0,0,1.82,0,3.88,1.09,5.39,0,17.45,0,1.32,1,561.58,4.26,3.06,2.53,0,7.36,0,0,0,0,41.47,3.37,2.65,1.78,0,0.77
120,0,0,3.9,0,26.23,0,0,286.05,0,0,2.8,35.21,8.14,0,0,1.33,0,3.6,2.11,0,0,39.78,0,0,7.23,1079.36,4.57,7,5.77,0,17.57,0,0,0,0,63.87,0,8.19,14.05,0,0
