stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.51,1.55,0,0,0.83,0,0
 24-34,0,0.81,0,0,0,0.71,0,0.65,3.75,0,0.83,1.57,0,0,0,3.02,0,0
 36-46,0,0,0,0.71,0,1.86,0,0,0.92,0,0,11.27,0,0,0,3.88,0,0
 48-58,0,0.41,2.69,0,0,1.22,0,0,1.05,0,0,14.38,0,0,0,4.59,0,3.42
 60-70,0,4.75,14.23,0,1.43,1.32,0,0,0,0,0,21.56,0.99,0.72,0,1.01,0,0
 72-82,0,0,1.45,0,2.25,0.67,0,0,3.23,0,1.48,19.66,1.7,0,0,0,1.49,0
 84-94,0,0,0.89,1.6,0,1.17,1.02,0,2.67,2.13,0,5.98,0,0,0.6,0.76,0,0
 96-106,0,1.24,0,0,0.76,0,0,0,0,0,0,6.3,0,0,0,0.97,0,0
108-118,0,0.88,5.81,0,1.67,0.68,0,0,4.16,0,0,12.55,0,0,0,4.76,0,0
120,0,0,0,0,19.84,6.77,0,0,4.93,0,0,0,0,0,0,0,0,0
