stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,0,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,8.8,0,0,0,0
 10-12,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,0,0,0,0
 14-21,0,0,2.29,0,0,0,0.88,0,0,0,0.85,0.92,0,0,0,1.28,1.9,0,0,0,0,0.9,0.81,0
 24-34,0,0,11.32,0,1.81,0,0,0,0,0,0,2.84,0,0,0,1.16,14.97,5.25,0,0,7.98,0,2.74,0
 36-46,0,0,1.9,0,0,1.31,0.83,0,0,0,0,0,0,4.5,0.95,0,39.11,3.53,0,0,6.71,0,2,0
 48-58,0,0,0,0,1.34,0,0.45,0,0,1.91,0,2.77,0,0.98,0,0,17.76,1.98,0,0,0.76,0,2.08,0
 60-70,0,0,0,4.71,2.48,0,0,0,0,0,0,14.42,0,0,0,0,38.31,1.01,0.82,0,0,0,0,0
 72-82,0,0,0,0,8.36,0,0,0,0,0,0,4.49,0,0,0,0,31.65,0,2.92,0,0,0,0,0.63
 84-94,0,0,0,0,1,0,0,0,0,0,0,15.6,0,1.54,0,0,33.8,2.41,0,0,0,0,0,0
 96-106,0,0,0,0,12.02,0,6.92,1.04,3.87,0,0,16.19,0,0.68,0,0,13.33,0,0,0,0,0,0,0
108-118,0,0,0,0,9.09,0,4.4,0.67,0,0.8,0,4.36,3.6,6.54,0,0,66.76,0,0,0,0,0,0,0
120,0,0,8.93,0,9.14,0,17.12,0,0,0,0,5.7,0,0,0,0,102.06,0,0,0,3.56,0,0,0
