stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.41,12.52,9.52,0,12.35,0,0,0,6.48,3.93,0,0,0,0,0,0,27.11,0,0,11.6,74.08,18.96,0,0,4.78,0,0,33.14,1.77,6.38,32.65,20.57,0,1.73,0,0
 24-34,0,2.07,9.16,1.61,0,18.81,0,0.71,1.22,1.44,1.41,0,4.22,0,0,0,0,31.99,0,0,19.38,95.71,2.72,0,0,0,0,3.9,0,0,0,9.29,17.98,0,31.25,0,0
 36-46,0,0,8.38,0,0,28.55,0.61,0,4.34,3.13,0,0,1.63,0,0,0,0,46.37,3.09,0,9.78,110.3,1.98,0,0,0,0,3.61,0,0,0,0.6,9.36,0,4.44,0,1.31
 48-58,0,0,2.29,0,0,15.58,0.62,0,4.94,2.55,0.92,0.56,0.55,0,0.81,0,0.56,32.1,0,0,6.72,36.19,4.01,0,0.99,0,0,0.69,0,5.85,0,0,7.41,0,9.44,0,0
 60-70,0,0,8.3,0,0,24.3,0,0,4.23,4.8,0,0,0.71,0,0,0,0,18.68,0.65,0,2.67,43.71,2.15,0,2.26,0,1.1,0,0,6.41,5.27,0,0.76,0.94,1.6,0,3.58
 72-82,0,0,7.82,0,1.04,23,0,0,2.65,7.75,0,1.18,0.53,0,0,0,0,34.07,0.59,0,2.83,53.3,0,0,0,0,0,0.84,0,0,0,0,1.83,1.51,5.65,0,0
 84-94,1.55,0,8.11,0,0,14.62,0,3.82,5.22,11.11,0,0,0.8,0,0.69,0.68,2.16,42.99,0,0.94,1.71,28.1,0,0,5.25,0,0,0,0,0,0,0,6.54,0,3.19,1.95,0
 96-106,0,0,12.62,0,0,35.79,0,0.71,6.62,9.23,1.7,0,0,0,0,0,0,39.35,0,0.66,2.7,21.67,0.95,0,0.63,0,1.11,1.17,0,0,0.67,0,0,2.94,5.18,2.04,0
108-118,0,0,2.43,0,0,34.25,0,0.93,4.16,13.68,0.82,1.12,0.42,0.92,0,0.49,0,44.61,1.14,3.11,1.64,37.83,3.49,0.95,0.63,0,0,0,0,0,1.12,0,0,3.48,8.21,1.02,0
120,0,0,9.58,0,0,5.55,0,3.41,0,5.57,1.31,1.19,0,0,0,0,0,12.76,0,0,9.76,22.04,3.27,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0
