stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.6,0,0,0,0,0.98,0,0,0,2.17,0,0,0,0,0,0,0,0,0,1.01,0,0.9,0,0,0,0,0
 24-34,2.3,0,0.94,2.07,0,1.01,3.33,0,0,0,0,0,0,0,9.35,0.67,0,0,0,0,0,0.64,1.13,0,0,0,0
 36-46,17.13,0,0,2.43,0,0,2.22,0,0,0,0,0,0,0.98,4.76,0,0,0.59,0,0,0,0,0,0,0,0,0
 48-58,8.82,0,5.67,3.44,1.25,0,0,0,0,0,0,1.46,0,0,5.43,0,0,2.92,0,0,0,0,2.4,0,0,0,0
 60-70,1.73,0,3.61,1.42,0,0,0,0,0.61,6.47,0,5,0,0.67,10.18,0,0,0.82,0,0,0,0,0,0,0,0,0.69
 72-82,0,0,2.95,1.07,0,11.85,0,0,0,0,0,3.09,0,0.64,8.96,0,0.97,1.62,0,0,0,0,2.26,0,0,0,0
 84-94,4.8,0,17.98,0,0,44.45,2.32,0,0,0,0,4.55,0,0,5.02,0,0.56,0,0,0,0.94,0,0,0,0,0,0
 96-106,1.61,1.8,3.08,3.65,0,176.1,0,0.69,0,11.35,0,2.88,0,0,7.62,0,0,0.69,0,0,0,0,0,1.64,2.08,1.95,0
108-118,3.29,0,3.43,1.04,1.17,248.4,0,0,1.48,0,0.76,8.92,0,0,3.13,0,0,0,1.35,0,0.53,0,0,0,0,0,0
120,0,0,6.64,0,0,304.58,0,0,0,0,0,0,19.27,0,11.07,0,0,0,2.8,0,2.91,0,1.7,0,0,0,0
