stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,14.29,67.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.06,13.2,0,0,13.76,0,13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.39,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,138.54,0,0,0,46.87,0,0,0,10.38,0,0,0,0,0,0,0
 14-21,0,0,2.36,3.29,5.06,2.17,0,2.52,0,0,0,8.77,0,0,1.92,0,0,0,0,4.29,0,0,0,56.25,0,0.89,1.05,0,0,0,1.04,1.83,0,9.01,54.15,0,0,0,0
 24-34,0,0,0,0,5.74,0,0,1.6,0,0.83,0,2.68,0,0,0,0,2.09,0,0,15.29,0,0,2.78,222.86,1.02,14.47,1.1,0,7.56,0,0,1.74,0,3.4,71.05,0,0,0.62,0
 36-46,0,0,0,0,1.63,0,0,21.81,0,0,0,4.62,0,0,0,0,0,0,0,7.19,0,0,5.17,433.89,0,6.21,0,0,9.32,0,0,0,0,0,87.12,0,0,10.23,9.22
 48-58,0,0,0,0,0,0,0,49.51,0,0,0,7.1,0,0,0,0,0,0,0.65,8.39,0,0,2.26,390.12,0,5.74,0,0,22.52,0,0,9.46,0,0,77.26,0,0,4.81,0
 60-70,0,0,0,0,5.96,2.08,0,123.78,0,2.17,2.97,10.42,0,0,0,0,0,0,0,11.55,0.62,0.81,0,394.03,0,4.97,0,0,6.97,0,0,0,0,0,65.81,0,0,3.64,6.18
 72-82,0,0,0.58,0,2.59,14.39,0,131.26,0.58,0,0,8.66,0.7,0,0,0,0,0.82,0,18.94,0,1.13,0,243,0,8.53,0.69,0,0.57,0,0,0,1.81,0,32.91,0,0,0.63,4.34
 84-94,0,0,1.75,0,1.34,2.06,0,66.52,0.57,1.25,5.23,10.24,0,0,0,2.21,0,0,0,12.8,0,0,0,209.72,0,0,3.73,0,6.37,0,0,0,0,0,69.4,1.63,0,0.93,0
 96-106,0,0,0,0,1.39,11.15,0.66,35.55,0,2.14,0.62,26.76,1.81,0,0,0,0,0,3.15,23.44,1.73,0,0,191.11,0,11.63,4.44,10.66,1.85,0,0,0,0,0,10.08,3.79,0,0,0
108-118,0,0,1.84,0,7.12,7.32,0,95.31,0,2.64,0.44,13.1,2.45,0,3.23,0,3.05,0,0.41,9.64,0,0,2.08,186.96,0,3.41,0.89,0,4.78,0,0,0,1.65,0,6.19,1.55,1.82,0,3.56
120,0,0,0,0,5.46,3.56,0,56.69,0,0,0,3.49,0,0,0,0,0,1.91,3.84,12.99,0,0,11.49,172.55,3.28,1.48,1.4,0,5.76,0,0,2.43,0,0,0,1.19,0,0,0
