stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,15.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.41,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0.9,0,0,1.2,1,0,0,0,0,0,3.52,0,1.69,1.65,8.47,0,0,0,0
 24-34,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49,0,0,4.76,14.41,0,0,1.16,0,0,0,0.75,0,0,8.1,0,0,0,0
 36-46,0,0,0,0,0,0,2.43,0,0,1.65,0,0,0,0,0,0,0,0,0,5.31,1.89,0,0,0,0,0,0,0,0,0,13.12,0,0,0,0
 48-58,0,0,0.39,0,0,0,4.31,0,0,1.82,0,0,0,0,0,0,1.66,0,0,0,2.97,0,0,0,0,0,0,0,0,0,2.89,0,0,0,0
 60-70,0,0,0,0,0,0,5.21,0,0,6.16,0,0,0,0,0,0,1.56,0,0,0,9.37,0,0.99,4.45,0,0,0,0,0,0,2.13,0,0,0,0
 72-82,0,0,2.52,0,0,0,20.44,5.1,0,26.71,0,0,0,10.78,0.96,0,5.38,0,0,0,4.63,0,0,7.09,0,0,0,0,0,0,0,0,0.79,0,0
 84-94,0,0,2.73,0,0,0,14.39,0,0,24.99,0,0,0,8.93,0,0.99,8.24,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,1.89,1.47,0,0
 96-106,0,0,0,0,0,0,3.81,0,0,42.79,1.11,0,0,0,0,0,13.42,1.22,0.69,0,5.83,0.6,3.94,17.31,0,0,0,0,0,0,7.26,0,5.3,1.7,0.72
108-118,0,0,0,0,2.61,0.56,7.5,0,2.57,29.23,0,0,1.25,26.06,1.37,0,8.73,0,0,0.59,31.75,0.47,1.17,19.25,0,5.13,0,0,0,0,5.31,0,0,0,0.68
120,0,0,1.16,0,0,0,0,0,0,27.44,15.97,0,0,38.36,0,0,9.18,0,20.63,0,11.16,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0
