stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,50.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.27,43.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08,0,0,0,18.39,0,0,0,0,0
 10-12,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,3.39,0,0,4.99,0,0,0,0,0
 14-21,0,0,0,3.39,0,0,0,0,1.33,0,0.84,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,1.99,0,4,0,0
 24-34,0,0,0,13.01,0,0,0,0,0,0,0,0.67,0.7,0,0,0,1.35,0,0,2.07,3.13,0,0,1.32,0,4.28,1.75,1.32,1.92,0
 36-46,0,0,0,7.86,1.95,0,9.2,0.67,0,0,0,0.78,0,0,0,0,14.21,0.59,0,1.1,25.27,0,0,0.63,0,3.43,0,4.13,1.37,0
 48-58,0,0,0,5.18,4.55,0,2.41,0,2.42,0,0,0.95,0,0,0.37,1.13,6.2,0,0,1.49,19.82,0,0.87,0.4,0,3.75,0,3.65,0,0
 60-70,0,0,0,22.78,3.37,0,11.44,0,0,0,0,6.97,0.59,0,0,0,7.2,0,0,0,11.01,0,0.73,0,0,1.17,0,0,0,0
 72-82,0,0,0,15.54,2.78,0,6.61,0,0.81,0,0,9.9,0.74,0,0,0.57,14.5,0,0,0,6.39,0,1.08,0.61,0,0,0,0,0,3.41
 84-94,0,0,0,20.31,10.59,0,9.17,0,1.61,2.1,0,5.99,1.84,0.8,0,3.71,11.04,0,0.73,4.6,3.05,0,0,0,0,3.49,0,0,0,0
 96-106,0,0,0,20.15,8.76,0.93,9.57,0,1.35,2.9,0,6.25,0,1.37,1.45,1.37,8.44,0,0,2.41,13.64,0,0.63,0,0,6.72,0,0,2.76,0
108-118,0,0,0.74,34.86,1.31,0.64,14.81,0,1.75,1.37,0,9.23,0,1.14,0,2.29,7.48,0.93,0,0.55,4.7,0,0,6.79,0,7.1,0,1.4,0,0
120,0,0,0,37.75,1.19,0,7.12,0,0,8.28,0,12.59,0,0,0,0,17.07,0,0,0,32.13,0,0,6.75,0,21.36,0,0,0,0
