stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,iridophores,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature
  5-6,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.05,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0
 10-12,0,0,5.59,0,0,0,0,0,0,0,10.26,0,0,9.55,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,4.98
 36-46,0,0,0,0,0,0.64,0,0,0,0,3.4,1.31,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.12,0,0,0,2.89,0.6,0,0,0,4.37,1.29
 60-70,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,2.56
 72-82,0,0,0,0,0,0,0.64,0,0,1.75,0,0,0,0,0,0,0
 84-94,0,1.01,0,1.13,0,0,0,0,0,0,0.67,0,0.66,0,0,0,0
 96-106,0,0,0,0.85,5.59,0,0,0,0,0,1.05,0,0,0,0,0,0.71
108-118,0,0,0,0.68,0,0,0,0,0.5,0,0,0,0,0,0,3.01,0
