stage,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,9.26,0,8.48,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,8.23,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,5.1,0,0,0,13.14,0,0,0,0
 14-21,0,0,0,0,0,0.85,0,0,0,0,0,0,4.31,0,1.35,4.5,0,0,0,0,0,1.07,0,2.48,0,0,0
 24-34,0,2.06,1.08,0,0,4.04,0,0,0,0,0,0,8.8,0,1.34,19.52,0,0,0,0,0,0,0,3.64,0,0,0
 36-46,0,0,2.36,1.23,0,2.02,0,0,0,0,0,0,5.1,9.83,0.56,35.97,0,0,0,0,0,0,0,2.8,0,0,0
 48-58,0,0,18.2,0,2.19,0,0,0.44,0,0,0,0,9.04,7.51,0,52.72,0,0.7,0,1.42,0,0,0,1.26,0.37,0,0
 60-70,0,0,55.31,0.86,0,0.64,0,1.69,0,0,0,0,51.8,26.11,0.67,108.19,0,0.91,0,0,0,0,0,13.1,9.21,1.79,4.78
 72-82,0,0,68.61,0,3.03,0.53,0,0,0,0,0,0,34.32,7.71,0,211.44,0,5.06,0,3.92,0,0,0,7,17.15,0,15.5
 84-94,0,0,57.43,1.3,3.52,8.82,0,0,1.75,4,0,9.11,24.14,28.49,0,124.82,1.8,0.61,0,0,0,0,0,19.24,27.25,1.81,41.06
 96-106,0,4.17,62.57,0,12.36,1.4,0,0,0.56,2.76,1.41,0,17.96,14.93,3.53,161.27,1.19,14.44,0,0,1.86,0,0,0,19.69,0,26.93
108-118,0,0,91.53,4.41,13.52,7.33,0,0,2.21,3.38,0,0,28.29,9.52,0,254.48,0,5.16,0,6.78,0,0,0,8.02,21.69,0,14.36
120,3.17,5.13,120.22,1.67,0,19.71,0,0,15.39,0,0,0,82.38,10.11,0,438.61,0,2.92,0,0,0,0,0,8.94,5.13,0,75.28
