stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,xanthophores
  3-4,67.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.99,0,0,1.06,0.98,0,1.79,1.18,1.13,0
 24-34,0,0,1.27,0,0,0.71,0,0,0,0,0,0,32.85,0,0,0,0,2.63,0
 36-46,0,0,0,0,2.21,1.39,0,0,0,0,0,0,79.03,1.95,0,0,0,10.07,0
 48-58,0,0,0,0,8.23,0,0.59,0,0,0,0,0,122.68,0,0.66,0,0,18.51,0
 60-70,0,0,3.24,0,35.52,0,1.06,0,0,3.25,0,0,266.62,0,0,0,0,31.76,2.72
 72-82,0,0.5,0,0,77.33,0,2.73,0,0,10.23,1.04,0,258.73,0,0,0,0,35.13,0
 84-94,0,0,0,0,39.18,0,1.79,0.64,0.83,1.44,0,0,212.99,0,0,0,0,17.51,0
 96-106,0,0,1.89,0,40.21,0,1.27,0,0,8.05,0,0.79,210.17,0,0,0,0,7.7,0
108-118,0,0,0.51,0,29.4,0,2.83,0,0,6.03,0,0,213.92,1.91,0,0,0,11.02,0
120,0,0,0,2.67,58.22,0,14.08,0,0,0,0,2.49,242.51,0,0,0,0,24.32,0
