stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,35.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,63.33,0,3.2,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,21.98,0,14.42,0,0,0,0,0,0
 14-21,0,0,0,0,2.27,1.23,0,0,0,0,0,0,0,9.65,0,0,0,0,1.33,0,0,0
 24-34,0,0,0,0,0.99,5.27,0,0,0,0,0,0,0,14.06,0,0,1.33,0,1.16,0,0,0
 36-46,0,0,0,0,30.77,3.72,4.09,0,0,0.62,0,0,0,20.88,0,0,0,0.65,0.83,0,0,0
 48-58,0,0,0,0,77.56,6.44,4.43,0,0,0,1.36,0,0,31.38,0,0,0,0.98,2.9,0,0,0.95
 60-70,0,0,0,0,104.32,38.76,0,0,0,1.98,0,0,0.89,32.7,0,0,0,0,13.29,0,0,8.71
 72-82,0,0,0,0,101.21,64.43,1.3,0,0,0,3.99,0,0.69,128.34,0.91,0,0,0,7.03,0,3.83,1.39
 84-94,0,0,0,0,92.49,65.32,0,0,0,0,18.34,0,0,27.28,0,0,0,0,11.63,0.86,0.77,4.35
 96-106,0,2.63,0,0,87.31,49.19,0,0,3.42,0,9.06,1.14,0.58,40.16,0,0,0,0,0,0,0,2.38
108-118,0,1.44,1.67,0,90.78,78.35,0.46,0.61,0.9,3.69,10.61,2.25,0,31.9,0,0,0,0,3.38,0.5,0,1.89
120,0,0,0,1.14,39.21,111.65,0,0,0,0,5.7,0,0,43.3,0,0,3.52,0,0,0,0,0
