stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,23.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.27,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.81,0,0,0,0,0,0,4.08,0,14.33,0,0,0,0,0,0,0,0
 10-12,5.81,0,0,0,0,0,0,0,0,0,27.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0.85,0.99,0.89,0,0,0
 24-34,0,0.59,0,2.65,0,0,0.91,0,1.35,0,16.13,0,0,0,0,0,0,1.19,0,1.07,1.65
 36-46,0,0,0,5.75,0,0,0,0,3.68,0,9.52,0.69,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,6.48,0,0,1.26,0,2.35,0,10.67,0,0,0,0,0,0,0.84,0,0,0
 60-70,0,0,0,7.99,0,0.67,0,0,0,1.71,14.29,0,0,0,7.1,0,0,1.08,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.8,0,2.09,0,0,0.84,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,4.04,0,0,0,0,0,1.13,0,2.49,0
 96-106,0,0,0,5.81,1.49,0,0,0,1.06,0,0.67,0,0,0,0,0,0,0,0,0,0
108-118,0,1.79,5.12,0,0,0.76,0,0,3.69,0.93,11.9,1.46,0,0,0.5,0,0,0,5.48,0.75,0
120,0,1.79,0,5.53,0,0,0,5.57,7.01,0,29.41,0,0,0,0,0,0,0,0,1.31,0
