stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,liver,melanocytes,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,0,646.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.98,829.06,12.33,0,0,0,0,10.32,0,0,0,43.99,0,0,21.53,0,0,0
  7-9,7.86,8.29,11.12,0,21.9,0,0,39.32,0,0,0,275.57,21.21,136,0,0,0,0
 10-12,0,0,9.58,0,12.89,0,0,7.69,0,0,0,233.9,0,52.05,0,0,21.81,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.02,9.91,0,0,0,0.84,0,0.8
 24-34,0,0,0,0,1.63,0,0.64,0,0,4.23,0.77,27.38,0,0,0,0,0,4.43
 36-46,0,0,0,0,0.65,0,0,0,0,0,1.49,5.24,0,0,0,0,0,1.05
 48-58,0,0,0,0.43,3.58,0,0,0,0,0,0.61,15.08,0,0,0,0,0,0
 60-70,0,0,0,0,0.97,0,0,0,0,0,1.84,13.89,0,0,0,0,0,10.31
 72-82,0,0,0,0,1.26,0,0,0,0,0,1.03,1.49,0,0,3.22,0,0,0
 84-94,0,0,0,0,0.75,0,0,0,0,0,0,1.05,0,0,0,0,0,0
108-118,0,0,0,0,0,0.43,0,0,0,0,0,1.2,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.37,0,0,15.06,0,0,0,0,0,0
