stage,eye,glial,ionocyte,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,spinal.cord
 10-12,0,0,0,0,0,11.86,0,0,0,0
 14-21,0,0,0,0,0,0.86,0,0,0.87,0
 24-34,0,0,0,0,2.09,7.39,0.62,0,0,1.79
 36-46,0,0,0,0,0,5.8,0.56,0,0,8.18
 48-58,0,0.43,0,0.83,0,11.29,1.45,0,0,3.2
 60-70,0,0,0,0,4.59,13.19,0,0,0,2.72
 72-82,7.2,3.78,0,0,0.96,15.59,8.15,0,0,2.1
 84-94,4.37,1.26,0.8,0,4.05,2.33,25.03,0,0,0
 96-106,3.22,0,0,0,0,0,9.11,0,0,0
108-118,0,0,0,0,0,0.98,0,0,0,0
120,1.92,0,0,0,0,1.11,1.54,9.92,0,0
