stage,axial,blastomeres,endoderm,eye,fin.mesenchyme,mesenchyme,muscle,neural,paraxial.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,45.23,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.16,0,0,0,0,0,0,0,0,0,0
  7-9,7.69,0,0,3.45,0,0,0,7.3,0,0,0,0
 10-12,0,0,4.62,0,0,0,0,12.6,10.05,0,0,0
 14-21,0,0,0,0,0,4.56,0.9,2.15,0,0.89,0.81,0.91
 24-34,0,0,0,0,0,2.16,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.73,0,4.61,0,0,0,0.58
 60-70,0,0,0,0,0.6,7.33,0,0,0,0,0,0.7
 72-82,0,0,0,1.94,0.59,0.62,0,0.99,0,0,0,0
 84-94,0,0,0,0.73,0,1.48,0,1.39,0,0,0,0
 96-106,0,0,0,1.13,0,1.39,0,3.22,0,0,0,0
108-118,0,0,0,0,1.05,0,0,0,0,0,0,1.1
