stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,xanthophores
 14-21,0,4.76,0,0,0,0.95,0,0,0,0,19.6,1.33,0.85,1.02,5.28,1.78,3,2.02,0
 24-34,0.84,0,0,0,1.23,0,0,1.38,0,0,5.77,0,0,0,0,0,0,2.91,0
 36-46,0,0,0,1.77,0,0,0,0,0.72,1.5,7.78,0,0,0,0,0,0,1.01,0
 48-58,0,0,0.66,0.71,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0
 60-70,0,0.67,0,0,0,4.11,0,0,0,0,6.01,0,1.23,0,0,0,0,0.93,0
 72-82,0,0,0,15.82,0,0,0,0,0,0,7.59,0,0,0,0,0,0,0,0
 84-94,0,0,0.87,0,0,0,0,0,0.83,4.13,5.66,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.03,0.92,0,0,0,0,0,3.02,0,0,0,0,0,0,1.31,0
108-118,0,1.35,0,2.45,0,0.59,0,0,1.8,0,7.35,0,0,0,0,0,0,0,7.58
120,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
