stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,230.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,240.68,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.93,0,0,0,12.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.79,12.1,0,21.68,0,0,109.61,0,0,0,0,0,55.5,0,0,0,0,0,0,0,0,0,0,0,465.48,24.32,0,0,115.55,0,3.29,0,0,0,0,0,0,0,0,0
 10-12,7.59,37.91,0,55.94,0,0,111.58,0,0,0,0,0,39.72,0,0,0,0,0,0,0,0,0,0,0,1277.07,126.96,0,0,162.3,0,0,0,16.68,13.08,0,0,0,0,0,0
 14-21,0,0,0,0,131.77,2.13,1.1,0,0.85,0,0,1.66,0.96,0,0,0,0,0,0,0,17.82,0,0,10.2,41.41,1.93,0,3.69,1.53,0,8.28,11.38,0,12.6,16.26,0,0,0,0,0
 24-34,0,0,0,0,16.62,0,0,0,2.95,0,0,1.28,0,0.82,0,0,0,1.21,0,0,18.53,1.24,0,3.75,73.18,0,2.63,0.68,0,0,4.55,0,3.2,2.73,8.2,0,0,4.31,0,0
 36-46,0,0,0,0,4.51,0,0.85,0,0,0,0,0,0,0,0,0,0,5.8,0,3.94,26.86,0,1.13,3.22,236.54,0,1.04,0.62,0,0,4.49,1.78,3.86,0,35.49,0,0,3.91,0,0
 48-58,0,0,0,0,1.22,0,100.21,0,9.29,0.41,14.14,0,0,0,0,0,0,8.79,0,0,25.9,0,0.77,1.41,554.58,0,2.03,0.97,0,0,0,0,0,0,54.02,0,0,1.95,0,0
 60-70,0,0,0,0,3.31,0,216.67,0,3.42,6.03,2.42,0,0,0,0,0,14.87,1.82,0,0,53.85,0,0.78,2.38,954.47,7.37,1.09,0,0,2.61,1.02,0,3.68,0,113.98,0,8.16,0,0,0
 72-82,0,0,0,0,5.13,1.63,238.78,1.57,0,1.24,8.25,0.51,0,1.14,0,0,0,13.45,0,8.93,62.08,0,1.69,0,709.4,0,3.43,0.71,0,2.81,0.74,0,0,0,63.95,0,1.92,1.35,7.26,0
 84-94,0,0,1.47,0,5.23,0,119.9,0,0.73,0,14.22,3.91,0,0,0,0,1.32,14.38,0,1.35,47.23,0,2.08,0.76,471.62,0,0,0.6,0,0,1.53,0,1.09,0,18.57,1.17,3.2,3,8.62,0
 96-106,0,0,0,1.03,0,8.97,86.73,0,1.22,1.49,10.83,3.24,0,0,0,0,0,16.79,0.61,2.18,52.78,1.47,0,0,370.25,0,0,1.61,0,0,0,0,0,0,13.97,0,5.52,0,18.26,8.07
108-118,0,0,0,0,9.39,1.77,78.73,1.18,0.81,1.04,10.33,0,0,0.68,0.62,0.68,6.75,5.06,5.42,1.91,35.76,0,0.94,5.25,508.75,0,0,1.84,0,4.04,0,0,0.43,0,23.49,0,2.22,1,4.74,6.1
120,1.12,0,0,0,11.81,0,158.4,0,0,0,15.72,0,0,3.24,0,0,8.49,7.65,0,0,56.12,0,24.45,7.95,776.88,0,4.12,0,0,0,1.98,0,0,0,66.55,0,8.16,0,20.66,0
