stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.19,9.9,10.61,271.73,140.55,0,187.22,0,0,0,41.8,7.23,122.26,19.31,4.74,2.77,1.73,0,0,9.69,132.38,0,0,108.03,2048.67,73.36,17.58,20.59,21.1,0,5.48,47.67,138.32,18.01,980.76,955.42,769.29,0,0,38.43,0,8.14
 24-34,0,12.38,3.74,88.66,32.39,0,311.26,817.67,8.01,2.12,34.56,4.24,16.52,33.95,23.33,4.28,2.4,7.53,13.53,23.15,272.39,6.08,2.33,227.64,5096.01,47.27,57.62,34.78,1,0,67.65,6.34,7.71,16.88,649.88,783.79,1475.24,0,0,120.54,0,57.42
 36-46,0,7.54,0.72,95.08,2.61,0,484,1384.74,4.14,22.26,159.17,1.4,4.5,28.68,43.36,0,5.75,3.87,12.25,52.23,348.51,6.41,3.06,180.27,7709.61,29.76,46.7,7.94,0,0.77,66.31,10.32,5.81,23.17,264.1,47.86,2638.15,0,1.89,78.11,0,119.47
 48-58,0,3.24,0.43,53.51,8,0,1068.8,859.77,27.88,43.92,377.02,1.65,2.7,17.22,20.83,0,19.12,9.13,15.68,60.28,509.24,17.28,6.12,150.49,8389.56,38.06,38.71,30.47,0,0.92,25.9,1.49,0.92,9.24,131,0,2026.64,0,5.08,57.61,0.5,181.72
 60-70,0,21.69,0,84.15,6.09,4.29,2202.96,443.82,8.93,63.46,771.93,28.64,0.66,15.89,65.49,2.43,42.35,13.11,12.86,34.4,958.66,16.61,11.04,163.68,12138.77,31.92,42.07,31.71,20.55,6.51,26.37,0.64,0,8.08,59.68,0,2103.17,0.81,28.58,91.85,8.68,175.37
 72-82,0,15.62,0,66.15,28.76,1.91,2990.11,255.17,9.66,50.67,1008.42,78.2,0.55,17.85,49.64,1.49,44.68,15.73,18.76,33.88,1472.59,17.52,56.5,125.33,12391.75,22.96,45.91,58.77,1.13,0.71,22.3,3.87,0,9.74,18.49,0,1340.37,3.88,39.55,147.6,45.1,217.77
 84-94,0,26.58,2.99,149,33.18,9.29,2738.4,393.73,20.36,56.02,948.73,95.98,0,16.46,71.06,12.14,54.26,12.24,9.95,40.75,1315.2,10.59,70.76,144.84,9938.58,33.23,39.51,79.73,0,7.46,81.36,0,0,10.79,18.81,0,985.35,17.36,52.77,166.92,47.88,184.72
 96-106,0,18.52,2.06,119.06,54.23,8.62,2389.55,382.48,14.3,60.5,1078.28,109.58,0,21.88,74.26,5.74,37.91,16.98,40.01,7.87,1194.22,14.82,37.49,94.28,8510.72,26.73,74.4,65.76,10.66,31.37,84.5,4.94,0,11.36,21.24,0,714.65,8.59,35.38,149.74,85.43,248.4
108-118,0,15.99,2.47,138,36.08,15.71,2174.62,240.78,19.58,37.74,1065.48,89.21,0,19.9,71.08,7.05,48.7,12.36,32.98,29.79,1396.2,9.35,61.8,98.72,13889.84,39.77,40.52,86.36,0,20.47,27.54,2.54,0,10.4,21.69,0,618.49,28.8,37.1,158.61,50.52,139.09
120,2.82,19.59,3.17,269.33,42.37,3.18,2897.13,225.1,11.41,75.27,1520.85,106.71,0,31.31,132.48,10.02,20.75,25.22,23.05,8.24,1472.47,1.56,72.15,115.69,23076.48,48.04,71.59,105.46,0,54,35.35,7.09,0,7.05,12.65,0,980.37,36.78,61.26,201.73,79.15,70.32
