stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,66.54,3157.31,0,0,0,0,0,0,0,85.21,0,0
  5-6,62.03,1240.14,0,0,0,0,89.67,0,0,0,0,0
  7-9,7.14,41.54,8.25,0,40.31,20.29,400.05,11.62,153.1,0,0,0
 10-12,0,0,0,0,12.58,0,54.02,0,61.44,6.67,18.51,0
 14-21,0,0,0,0,0,0,4.9,0,0,0,0,0
 24-34,0,0,0,0.81,0,0,2.66,0,0,1.51,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.4,0,0
 48-58,0,0,0,0,0,0,0,0.51,0,0,0,1.03
 60-70,0,0,0,0,1.05,0,0,0,0,0,0,0
